hand,hand_idx,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,broadway_score,suited_broadway,suited_broadway_score,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,connectedness_score,rank_diff_score,high_card_score,low_card_score,suited_connected_score
QJo,147,0,1,0,10,9,1,offsuit,0,2,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.8333333333333334,0.75,0.0
QJs,148,1,1,0,10,9,1,suited,0,2,0,0,0,1.0,2,1.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.8333333333333334,0.75,0.9090909090909091
QQo,149,0,0,1,10,10,0,pair,0,2,0,0,1,1.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0
QTo,150,0,2,0,10,8,2,offsuit,0,2,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.0
QTs,151,1,2,0,10,8,2,suited,0,2,0,0,0,1.0,2,1.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8181818181818182
T2o,152,0,8,0,8,0,8,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.0,0.0
T2s,153,1,8,0,8,0,8,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.0,0.2727272727272727
T3o,154,0,7,0,8,1,7,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.6666666666666666,0.08333333333333333,0.0
T3s,155,1,7,0,8,1,7,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.6666666666666666,0.08333333333333333,0.36363636363636365
T4o,156,0,6,0,8,2,6,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,0.6666666666666666,0.16666666666666666,0.0
T4s,157,1,6,0,8,2,6,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.45454545454545453,0.5,0.6666666666666666,0.16666666666666666,0.45454545454545453
T5o,158,0,5,0,8,3,5,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.6666666666666666,0.25,0.0
T5s,159,1,5,0,8,3,5,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.6666666666666666,0.25,0.5454545454545454
T6o,160,0,4,0,8,4,4,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
T6s,161,1,4,0,8,4,4,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6363636363636364
T7o,162,0,3,0,8,5,3,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.6666666666666666,0.4166666666666667,0.0
T7s,163,1,3,0,8,5,3,suited,0,1,0,0,0,0.5,1,0.5,0,0,1,0,0,1,0.7272727272727273,0.75,0.6666666666666666,0.4166666666666667,0.7272727272727273
T8o,164,0,2,0,8,6,2,offsuit,0,1,0,0,0,0.5,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.6666666666666666,0.5,0.0
T8s,165,1,2,0,8,6,2,suited,0,1,0,0,0,0.5,1,0.5,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.6666666666666666,0.5,0.8181818181818182
T9o,166,0,1,0,8,7,1,offsuit,0,1,0,0,0,0.5,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.6666666666666666,0.5833333333333334,0.0
T9s,167,1,1,0,8,7,1,suited,0,1,0,0,0,0.5,1,0.5,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.6666666666666666,0.5833333333333334,0.9090909090909091
TTo,168,0,0,1,8,8,0,pair,0,2,0,1,0,1.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0
