hand,hand_idx,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,broadway_score,suited_broadway,suited_broadway_score,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,connectedness_score,rank_diff_score,high_card_score,low_card_score,suited_connected_score
76s,34,1,1,0,5,4,1,suited,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.4166666666666667,0.3333333333333333,0.9090909090909091
77o,35,0,0,1,5,5,0,pair,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.0
82o,36,0,6,0,6,0,6,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,0.5,0.0,0.0
82s,37,1,6,0,6,0,6,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,0.5,0.0,0.45454545454545453
83o,38,0,5,0,6,1,5,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.5,0.08333333333333333,0.0
83s,39,1,5,0,6,1,5,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.5,0.08333333333333333,0.5454545454545454
84o,40,0,4,0,6,2,4,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.5,0.16666666666666666,0.0
84s,41,1,4,0,6,2,4,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.5,0.16666666666666666,0.6363636363636364
85o,42,0,3,0,6,3,3,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.5,0.25,0.0
85s,43,1,3,0,6,3,3,suited,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,1,0.7272727272727273,0.75,0.5,0.25,0.7272727272727273
86o,44,0,2,0,6,4,2,offsuit,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.5,0.3333333333333333,0.0
86s,45,1,2,0,6,4,2,suited,0,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.5,0.3333333333333333,0.8181818181818182
87o,46,0,1,0,6,5,1,offsuit,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.5,0.4166666666666667,0.0
87s,47,1,1,0,6,5,1,suited,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.5,0.4166666666666667,0.9090909090909091
88o,48,0,0,1,6,6,0,pair,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.5,0.5,0.0
92o,49,0,7,0,7,0,7,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.5833333333333334,0.0,0.0
92s,50,1,7,0,7,0,7,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.5833333333333334,0.0,0.36363636363636365
93o,51,0,6,0,7,1,6,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,0.5833333333333334,0.08333333333333333,0.0
93s,52,1,6,0,7,1,6,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,0.5833333333333334,0.08333333333333333,0.45454545454545453
94o,53,0,5,0,7,2,5,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.0
94s,54,1,5,0,7,2,5,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.5454545454545454
