hand,block_aa,block_kk,block_qq,block_ak,block_aq,prem_blocker_score,prem_blocker_score_norm,block_aa_score,block_kk_score
JJo,0,0,0,0,0,0.0,0.0,0.0,0.0
JTo,0,0,0,0,0,0.0,0.0,0.0,0.0
JTs,0,0,0,0,0,0.0,0.0,0.0,0.0
K2o,0,3,0,4,0,26.0,0.40625,0.0,0.75
K2s,0,3,0,4,0,26.0,0.40625,0.0,0.75
K3o,0,3,0,4,0,26.0,0.40625,0.0,0.75
K3s,0,3,0,4,0,26.0,0.40625,0.0,0.75
K4o,0,3,0,4,0,26.0,0.40625,0.0,0.75
K4s,0,3,0,4,0,26.0,0.40625,0.0,0.75
K5o,0,3,0,4,0,26.0,0.40625,0.0,0.75
K5s,0,3,0,4,0,26.0,0.40625,0.0,0.75
K6o,0,3,0,4,0,26.0,0.40625,0.0,0.75
K6s,0,3,0,4,0,26.0,0.40625,0.0,0.75
K7o,0,3,0,4,0,26.0,0.40625,0.0,0.75
K7s,0,3,0,4,0,26.0,0.40625,0.0,0.75
K8o,0,3,0,4,0,26.0,0.40625,0.0,0.75
K8s,0,3,0,4,0,26.0,0.40625,0.0,0.75
K9o,0,3,0,4,0,26.0,0.40625,0.0,0.75
K9s,0,3,0,4,0,26.0,0.40625,0.0,0.75
KJo,0,3,0,4,0,26.0,0.40625,0.0,0.75
KJs,0,3,0,4,0,26.0,0.40625,0.0,0.75
KKo,0,4,0,8,0,44.0,0.6875,0.0,1.0
KQo,0,3,3,4,4,43.0,0.671875,0.0,0.75
KQs,0,3,3,4,4,43.0,0.671875,0.0,0.75
KTo,0,3,0,4,0,26.0,0.40625,0.0,0.75
KTs,0,3,0,4,0,26.0,0.40625,0.0,0.75
Q2o,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q2s,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q3o,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q3s,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q4o,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q4s,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q5o,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q5s,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q6o,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q6s,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q7o,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q7s,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q8o,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q8s,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q9o,0,0,3,0,4,17.0,0.265625,0.0,0.0
Q9s,0,0,3,0,4,17.0,0.265625,0.0,0.0
QJo,0,0,3,0,4,17.0,0.265625,0.0,0.0
QJs,0,0,3,0,4,17.0,0.265625,0.0,0.0
QQo,0,0,4,0,8,28.0,0.4375,0.0,0.0
QTo,0,0,3,0,4,17.0,0.265625,0.0,0.0
QTs,0,0,3,0,4,17.0,0.265625,0.0,0.0
T2o,0,0,0,0,0,0.0,0.0,0.0,0.0
T2s,0,0,0,0,0,0.0,0.0,0.0,0.0
T3o,0,0,0,0,0,0.0,0.0,0.0,0.0
T3s,0,0,0,0,0,0.0,0.0,0.0,0.0
T4o,0,0,0,0,0,0.0,0.0,0.0,0.0
T4s,0,0,0,0,0,0.0,0.0,0.0,0.0
T5o,0,0,0,0,0,0.0,0.0,0.0,0.0
T5s,0,0,0,0,0,0.0,0.0,0.0,0.0
T6o,0,0,0,0,0,0.0,0.0,0.0,0.0
T6s,0,0,0,0,0,0.0,0.0,0.0,0.0
T7o,0,0,0,0,0,0.0,0.0,0.0,0.0
T7s,0,0,0,0,0,0.0,0.0,0.0,0.0
T8o,0,0,0,0,0,0.0,0.0,0.0,0.0
T8s,0,0,0,0,0,0.0,0.0,0.0,0.0
T9o,0,0,0,0,0,0.0,0.0,0.0,0.0
T9s,0,0,0,0,0,0.0,0.0,0.0,0.0
TTo,0,0,0,0,0,0.0,0.0,0.0,0.0
