hand,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2
82s,10.0,80.0,47.0,100.0,47.0,50.0,35.0,140.0,0.5714285714285714,2.0,1.6,2,1.1682450747445736,-1.094959905626959
A7o,32.0,256.0,48.0,100.0,48.0,154.0,13.0,156.0,1.641025641025641,0.6493506493506493,1.6623376623376624,0,-0.6827669188661076,1.6009625293936078
K7o,30.0,240.0,48.0,100.0,48.0,154.0,15.0,180.0,1.3333333333333333,0.6493506493506493,1.5584415584415585,0,-0.3671142428522315,1.4117600349365547
Q7o,28.0,224.0,48.0,100.0,48.0,154.0,17.0,204.0,1.0980392156862746,0.6493506493506493,1.4545454545454546,0,-0.05146156683835524,1.222557540479501
J7o,26.0,208.0,48.0,100.0,48.0,154.0,19.0,228.0,0.9122807017543859,0.6493506493506493,1.3506493506493507,0,0.2641911091755209,1.033355046022447
T7o,24.0,192.0,48.0,100.0,48.0,154.0,21.0,252.0,0.7619047619047619,0.6493506493506493,1.2467532467532467,0,0.5798437851893973,0.8441525515653935
97o,22.0,176.0,48.0,100.0,48.0,154.0,23.0,276.0,0.6376811594202898,0.6493506493506493,1.1428571428571428,0,0.8954964612032734,0.6549500571083399
87o,20.0,160.0,48.0,100.0,48.0,154.0,25.0,300.0,0.5333333333333333,0.6493506493506493,1.0389610389610389,0,1.2111491372171495,0.46574756265128614
77o,10.0,80.0,25.0,100.0,25.0,76.0,0.0,0.0,80.0,1.3157894736842106,1.0526315789473684,1,-3.0447404021397593,-4.539066782728349
76s,16.0,128.0,47.0,100.0,47.0,50.0,29.0,116.0,1.103448275862069,2.0,2.56,2,0.4013249758164045,-0.5124083847478512
75s,14.0,112.0,47.0,100.0,47.0,50.0,31.0,124.0,0.9032258064516129,2.0,2.24,2,0.6569650087924608,-0.7065922250408871
74s,12.0,96.0,47.0,100.0,47.0,50.0,33.0,132.0,0.7272727272727273,2.0,1.92,2,0.9126050417685173,-0.9007760653339231
73s,10.0,80.0,47.0,100.0,47.0,50.0,35.0,140.0,0.5714285714285714,2.0,1.6,2,1.1682450747445736,-1.094959905626959
72s,8.0,64.0,47.0,100.0,47.0,50.0,37.0,148.0,0.43243243243243246,2.0,1.28,2,1.4238851077206303,-1.289143745919995
A6o,30.0,240.0,48.0,100.0,48.0,154.0,15.0,180.0,1.3333333333333333,0.6493506493506493,1.5584415584415585,0,-0.3671142428522315,1.4117600349365547
K6o,28.0,224.0,48.0,100.0,48.0,154.0,17.0,204.0,1.0980392156862746,0.6493506493506493,1.4545454545454546,0,-0.05146156683835524,1.222557540479501
Q6o,26.0,208.0,48.0,100.0,48.0,154.0,19.0,228.0,0.9122807017543859,0.6493506493506493,1.3506493506493507,0,0.2641911091755209,1.033355046022447
J6o,24.0,192.0,48.0,100.0,48.0,154.0,21.0,252.0,0.7619047619047619,0.6493506493506493,1.2467532467532467,0,0.5798437851893973,0.8441525515653935
T6o,22.0,176.0,48.0,100.0,48.0,154.0,23.0,276.0,0.6376811594202898,0.6493506493506493,1.1428571428571428,0,0.8954964612032734,0.6549500571083399
96o,20.0,160.0,48.0,100.0,48.0,154.0,25.0,300.0,0.5333333333333333,0.6493506493506493,1.0389610389610389,0,1.2111491372171495,0.46574756265128614
86o,18.0,144.0,48.0,100.0,48.0,154.0,27.0,324.0,0.4444444444444444,0.6493506493506493,0.935064935064935,0,1.526801813231026,0.27654506819423236
76o,16.0,128.0,48.0,100.0,48.0,154.0,29.0,348.0,0.367816091954023,0.6493506493506493,0.8311688311688312,0,1.842454489244902,0.0873425737371787
66o,8.0,64.0,25.0,100.0,25.0,76.0,0.0,0.0,64.0,1.3157894736842106,0.8421052631578947,1,-2.9100727757304683,-4.72757440601912
65s,12.0,96.0,47.0,100.0,47.0,50.0,33.0,132.0,0.7272727272727273,2.0,1.92,2,0.9126050417685173,-0.9007760653339231
64s,10.0,80.0,47.0,100.0,47.0,50.0,35.0,140.0,0.5714285714285714,2.0,1.6,2,1.1682450747445736,-1.094959905626959
63s,8.0,64.0,47.0,100.0,47.0,50.0,37.0,148.0,0.43243243243243246,2.0,1.28,2,1.4238851077206303,-1.289143745919995
