hand,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10,ev_pc1,ev_pc2
A4s,-0.05,0.15,0.12,0.02,-0.01,-0.05,-0.06,0.09,-0.18,0.08,0.23,0.13,0.15,0.33,0.09,0.08,0.0,-0.03,0.13,0.06,0.01,0.0,0.05,-0.04,0.14,-0.05,0.02,0.13,0.08,0.25,0.12,0.01,0.0,0.03,0.1,-0.14,0.11,0.03,-0.04,0.07,0.01,0.15,0.02,0.03,0.05,0.02,0.07,0.01,0.18,0.04,0.08,0.03,-0.02,0.16,1.3978139588288236,1.1029182796067114
A5o,-0.3,0.05,-0.05,-0.09,-0.17,-0.31,-0.21,-0.25,-0.27,-0.13,0.04,0.02,-0.03,-0.09,-0.08,-0.1,-0.08,-0.26,-0.02,-0.1,-0.13,-0.16,-0.29,-0.23,-0.23,-0.28,-0.12,-0.05,-0.1,-0.09,-0.14,-0.13,-0.15,-0.15,-0.08,0.03,-0.14,-0.1,-0.08,-0.12,-0.09,-0.15,-0.09,-0.12,-0.15,-0.09,-0.13,-0.1,-0.12,-0.11,-0.11,-0.11,-0.11,-0.08,-2.9508170894044143,0.8898857122601572
A5s,0.01,0.14,0.12,0.06,-0.02,-0.06,0.06,0.01,-0.08,0.16,0.15,0.12,0.18,0.21,0.21,0.18,0.09,0.11,0.13,0.07,0.06,0.09,-0.05,0.03,0.02,-0.01,0.09,0.2,0.07,-0.06,0.0,-0.05,-0.06,0.07,0.11,0.27,0.23,-0.01,0.0,0.0,0.32,0.19,0.14,0.02,0.08,-0.06,0.08,0.07,0.02,0.11,0.1,0.01,0.02,0.2,1.886204949655823,0.909455217088679
A6o,-0.28,0.07,-0.03,-0.15,-0.18,-0.24,-0.25,-0.23,-0.26,-0.09,0.05,0.01,-0.04,-0.06,-0.04,-0.11,-0.09,-0.29,-0.02,-0.12,-0.12,-0.18,-0.17,-0.21,-0.22,-0.25,-0.18,-0.03,-0.14,-0.07,-0.2,-0.13,-0.15,-0.15,-0.09,-0.05,-0.11,-0.13,-0.13,-0.12,-0.07,-0.12,-0.15,-0.12,-0.11,-0.04,-0.16,-0.11,-0.13,-0.09,-0.08,-0.1,-0.09,-0.13,-2.9456675805104897,0.9821151550508427
A6s,-0.15,0.19,0.12,0.07,-0.02,0.09,-0.19,-0.1,-0.16,-0.01,0.2,0.19,0.2,-0.03,0.13,0.12,0.02,0.01,0.13,0.06,0.01,-0.04,0.16,-0.02,-0.14,-0.05,-0.13,0.1,0.05,-0.01,0.0,-0.04,0.07,0.04,0.08,-0.1,0.03,0.05,-0.07,-0.03,0.04,0.03,-0.1,-0.01,0.0,-0.03,-0.01,0.04,0.05,0.09,0.1,-0.02,0.13,0.0,0.5770103436799926,1.4884336549973927
A7o,-0.25,0.09,-0.05,-0.06,-0.14,-0.08,-0.2,-0.27,-0.29,-0.06,0.05,0.06,-0.04,-0.04,-0.11,-0.01,-0.09,-0.22,0.01,-0.03,-0.11,-0.14,-0.29,-0.27,-0.22,-0.24,-0.15,-0.02,-0.09,-0.08,-0.04,-0.1,-0.18,-0.12,-0.06,-0.03,-0.11,-0.09,-0.12,-0.11,0.06,-0.06,-0.09,-0.07,-0.11,-0.05,-0.07,-0.12,-0.15,-0.12,-0.1,-0.11,-0.11,-0.1,-2.39644888254344,1.1433552000201845
A7s,-0.06,0.15,0.16,0.08,0.05,0.01,0.06,-0.08,-0.05,0.08,0.19,0.19,0.13,0.27,0.07,-0.02,0.18,-0.07,0.18,0.07,0.04,-0.01,0.01,0.0,0.03,-0.03,0.03,0.14,0.14,0.25,0.12,0.0,0.11,0.12,0.17,0.19,0.18,-0.03,0.02,-0.01,0.07,-0.01,0.07,0.04,0.1,0.23,0.11,0.06,0.25,0.02,0.18,0.1,0.07,0.01,2.0158650462661325,1.0636893520566104
A8o,-0.28,0.11,0.05,0.0,-0.11,-0.17,-0.18,-0.24,-0.23,-0.09,0.14,0.08,0.02,-0.03,-0.01,0.02,-0.04,-0.21,0.11,-0.02,-0.09,-0.1,-0.2,-0.19,-0.22,-0.2,-0.18,0.01,-0.05,-0.02,-0.04,-0.05,-0.09,-0.08,-0.04,-0.04,-0.05,-0.11,-0.16,-0.11,-0.03,-0.01,-0.08,-0.09,-0.09,-0.07,-0.1,-0.1,-0.08,-0.09,-0.11,-0.16,0.01,-0.06,-1.7716186105921774,1.5059462777792887
A8s,-0.11,0.21,0.06,0.12,0.11,0.07,-0.03,-0.05,-0.01,0.14,0.33,0.2,0.2,0.06,0.16,0.02,0.17,-0.01,0.17,0.14,0.05,0.07,-0.02,0.07,0.01,0.04,0.12,0.26,0.17,0.13,0.11,0.03,0.1,0.03,0.18,-0.01,0.19,0.12,0.01,0.17,0.0,-0.05,0.15,0.04,0.06,0.04,0.18,0.08,0.08,0.14,0.04,0.01,0.08,0.1,2.22064416210344,1.3517919140131762
A9o,-0.19,0.14,0.03,0.01,-0.08,-0.08,-0.07,-0.12,-0.21,-0.03,0.14,0.15,0.07,-0.08,0.01,-0.01,-0.05,-0.22,0.1,0.04,0.0,-0.07,-0.13,-0.13,-0.17,-0.17,-0.08,0.07,-0.01,-0.04,-0.07,-0.07,0.0,-0.11,0.05,0.11,0.01,-0.03,-0.03,-0.13,0.1,-0.11,-0.04,-0.1,-0.07,-0.1,-0.05,-0.1,-0.09,-0.06,0.02,-0.12,-0.08,-0.1,-0.968965927371097,1.64002105662105
A9s,0.05,0.3,0.15,0.14,0.13,0.18,0.03,0.11,0.01,0.19,0.29,0.33,0.38,0.42,0.17,0.19,0.15,0.16,0.25,0.21,0.17,0.12,0.03,0.12,0.04,0.1,0.23,0.25,0.28,0.14,0.08,0.21,0.09,0.07,0.27,0.17,0.21,0.15,0.09,0.13,0.12,0.02,0.24,0.08,0.12,0.09,0.24,0.1,0.2,0.12,0.2,0.19,0.43,0.19,4.175030700739313,1.4010601531249447
AAo,2.81,1.13,1.64,1.97,2.26,2.26,2.79,2.28,2.67,2.96,1.73,2.1,2.36,2.38,2.73,2.6,2.81,2.72,1.16,1.65,1.99,2.2,2.62,2.33,2.7,2.65,2.48,1.92,2.09,2.05,1.95,2.31,2.35,2.53,2.18,2.58,2.21,2.31,2.55,2.73,2.53,2.23,2.2,2.48,2.76,2.43,2.47,2.54,2.79,2.53,2.64,2.77,2.73,2.89,57.07541680970146,-5.100587838984244
AJo,0.1,0.28,0.26,0.25,0.19,0.15,-0.04,0.07,0.0,0.15,0.36,0.38,0.34,0.37,0.33,0.17,0.29,0.03,0.24,0.31,0.23,0.15,0.06,0.04,0.09,0.05,0.03,0.28,0.23,0.22,0.22,0.07,0.08,0.1,0.31,0.13,0.15,0.12,0.08,0.1,0.25,0.2,0.14,0.17,0.07,0.27,0.19,0.18,0.15,0.17,0.2,0.09,0.25,0.19,4.349482762450805,1.859399988132963
AJs,0.25,0.34,0.37,0.39,0.44,0.32,0.34,0.41,0.41,0.49,0.59,0.6,0.55,0.42,0.52,0.52,0.51,0.41,0.34,0.38,0.4,0.42,0.52,0.3,0.33,0.42,0.27,0.4,0.49,0.33,0.28,0.36,0.27,0.41,0.64,0.48,0.44,0.24,0.32,0.4,0.73,0.5,0.45,0.38,0.44,0.72,0.45,0.34,0.51,0.45,0.35,0.51,0.46,0.54,10.41283403326435,0.8912006004093534
AKo,0.42,0.38,0.46,0.47,0.49,0.41,0.62,0.37,0.43,0.61,0.53,0.61,0.7,0.67,0.63,0.61,0.61,0.42,0.34,0.41,0.45,0.43,0.42,0.37,0.53,0.38,0.48,0.56,0.52,0.52,0.52,0.43,0.44,0.42,0.59,0.58,0.65,0.46,0.44,0.55,0.38,0.65,0.51,0.49,0.5,0.5,0.63,0.55,0.5,0.64,0.58,0.57,0.6,0.59,12.438843148965052,0.31066456169865275
AKs,0.78,0.47,0.6,0.72,0.72,0.55,0.58,0.84,0.65,0.99,0.66,0.76,0.93,1.0,0.94,0.96,0.85,0.68,0.46,0.62,0.7,0.7,0.7,0.69,0.63,0.81,0.79,0.74,0.71,0.77,0.68,0.91,0.65,0.9,0.87,0.85,0.8,0.81,0.77,0.83,1.02,1.17,0.76,0.77,0.82,0.73,0.75,0.91,0.86,0.81,1.02,0.82,0.8,1.01,19.026197277677134,-0.9344785794082394
AQo,0.17,0.33,0.31,0.34,0.32,0.18,0.16,0.22,0.21,0.37,0.4,0.45,0.46,0.35,0.41,0.31,0.35,0.18,0.28,0.27,0.31,0.32,0.23,0.27,0.17,0.18,0.21,0.41,0.36,0.38,0.26,0.22,0.26,0.3,0.4,0.41,0.52,0.27,0.28,0.21,0.35,0.26,0.26,0.3,0.31,0.42,0.28,0.34,0.26,0.45,0.34,0.33,0.35,0.3,7.530619902914989,1.0602758893068864
AQs,0.51,0.43,0.51,0.49,0.48,0.78,0.56,0.53,0.45,0.64,0.54,0.8,0.7,1.04,0.61,0.75,0.71,0.57,0.4,0.45,0.53,0.57,0.85,0.43,0.46,0.51,0.51,0.58,0.61,0.6,0.62,0.47,0.67,0.6,0.71,0.4,0.71,0.46,0.61,0.53,0.73,0.76,0.68,0.63,0.5,0.38,0.76,0.71,0.7,0.58,0.62,0.65,0.61,0.64,14.541920757085183,0.30781475068917036
ATo,-0.04,0.21,0.17,0.12,0.1,-0.01,0.1,-0.05,-0.08,0.06,0.27,0.31,0.25,0.22,0.12,0.08,0.1,-0.08,0.19,0.16,0.1,0.12,0.0,-0.11,-0.08,-0.04,-0.07,0.19,0.14,0.11,0.07,-0.03,-0.03,-0.02,0.19,0.18,0.09,0.07,0.02,0.02,-0.03,0.17,0.08,0.03,0.01,0.02,0.05,0.02,0.0,0.07,0.04,0.03,0.03,0.0,1.7216670901649598,1.9676645197759812
ATs,0.23,0.3,0.33,0.25,0.29,0.31,0.28,0.15,0.12,0.46,0.57,0.54,0.47,0.38,0.48,0.32,0.45,0.19,0.29,0.38,0.29,0.29,0.32,0.22,0.16,0.28,0.28,0.34,0.34,0.27,0.38,0.26,0.23,0.24,0.49,0.23,0.29,0.3,0.27,0.25,0.24,0.1,0.36,0.31,0.4,0.45,0.32,0.35,0.28,0.38,0.23,0.26,0.47,0.31,7.6926796401825985,1.224243036085683
J2o,-0.43,-0.13,-0.23,-0.28,-0.33,-0.35,-0.35,-0.39,-0.39,-0.04,-0.03,-0.03,-0.02,-0.05,0.01,-0.03,-0.03,-0.28,-0.22,-0.25,-0.25,-0.26,-0.29,-0.27,-0.29,-0.3,-0.08,-0.06,-0.06,-0.11,-0.11,-0.09,-0.08,-0.04,-0.03,0.0,-0.04,-0.05,-0.04,-0.04,-0.04,-0.05,-0.03,-0.03,-0.03,-0.07,-0.06,-0.01,-0.04,-0.01,-0.03,-0.03,-0.03,-0.02,-3.009672560857406,-1.2976857648654372
J2s,-0.32,-0.08,-0.12,-0.24,-0.23,-0.33,-0.26,-0.31,-0.32,-0.11,-0.05,-0.06,-0.07,-0.22,-0.05,-0.08,-0.13,-0.27,-0.14,-0.22,-0.19,-0.24,-0.21,-0.21,-0.28,-0.21,-0.12,-0.07,-0.11,-0.22,-0.1,-0.1,-0.11,-0.12,-0.07,-0.11,-0.11,-0.14,-0.06,-0.08,-0.12,-0.08,-0.11,-0.08,-0.07,0.0,-0.05,-0.03,-0.01,-0.07,-0.12,-0.08,-0.14,-0.1,-3.3441517930122466,-0.32972690785676617
J3o,-0.42,-0.12,-0.23,-0.28,-0.35,-0.3,-0.36,-0.38,-0.38,-0.03,-0.03,-0.03,-0.04,-0.04,-0.08,-0.04,-0.01,-0.28,-0.21,-0.25,-0.26,-0.26,-0.27,-0.3,-0.3,-0.3,-0.12,-0.05,-0.05,-0.09,-0.06,-0.08,-0.08,-0.04,-0.03,-0.05,-0.04,-0.04,-0.04,-0.03,-0.03,-0.05,-0.04,-0.03,-0.03,-0.03,-0.04,-0.02,-0.04,-0.03,-0.03,-0.03,-0.01,-0.03,-2.99095141228949,-1.2412552590210315
J3s,-0.31,-0.07,-0.17,-0.16,-0.2,-0.22,-0.25,-0.23,-0.27,-0.04,-0.08,-0.04,-0.04,-0.12,-0.21,-0.17,-0.07,-0.27,-0.1,-0.13,-0.21,-0.24,-0.13,-0.23,-0.22,-0.29,-0.08,-0.12,-0.12,-0.1,-0.17,-0.16,-0.16,-0.06,-0.1,0.04,-0.06,-0.09,-0.08,-0.1,-0.05,-0.08,-0.05,-0.1,-0.13,-0.06,-0.09,-0.1,-0.11,-0.09,-0.09,-0.07,-0.13,-0.1,-3.1584507369970836,-0.022041443620564052
J4o,-0.38,-0.11,-0.2,-0.28,-0.33,-0.04,-0.31,-0.35,-0.4,-0.04,-0.04,-0.03,-0.04,-0.07,-0.04,-0.02,-0.04,-0.27,-0.22,-0.21,-0.24,-0.27,-0.28,-0.33,-0.27,-0.28,-0.1,-0.05,-0.05,-0.09,-0.11,-0.08,-0.07,-0.04,-0.05,-0.06,-0.06,-0.05,-0.04,-0.05,-0.03,-0.01,-0.04,-0.02,-0.04,-0.05,-0.03,-0.03,-0.03,-0.01,-0.03,-0.04,-0.03,-0.03,-2.841218802458602,-1.0358775932620774
J4s,-0.2,-0.01,-0.1,-0.18,-0.24,-0.22,-0.3,-0.1,-0.26,-0.09,-0.04,-0.05,-0.03,-0.04,-0.07,-0.06,-0.1,-0.28,-0.15,-0.14,-0.18,-0.2,-0.24,-0.31,-0.2,-0.26,-0.09,-0.06,-0.09,-0.14,-0.14,-0.15,-0.13,-0.03,-0.01,-0.26,-0.09,-0.06,-0.14,-0.12,-0.08,-0.18,-0.07,-0.1,-0.05,-0.02,0.07,-0.08,-0.06,-0.03,-0.11,-0.09,-0.09,0.05,-2.842753548799481,0.026093116186663684
J5o,-0.38,-0.08,-0.21,-0.29,-0.33,-0.36,-0.33,-0.34,-0.37,-0.03,-0.04,-0.04,-0.04,-0.05,-0.05,-0.04,-0.03,-0.28,-0.19,-0.22,-0.24,-0.26,-0.26,-0.29,-0.3,-0.3,-0.11,-0.06,-0.06,-0.1,-0.1,-0.08,-0.08,-0.04,-0.04,-0.11,-0.03,-0.05,-0.04,-0.06,-0.07,-0.04,-0.03,-0.04,-0.05,-0.02,-0.04,-0.05,-0.05,-0.06,-0.03,-0.03,-0.05,-0.05,-3.0458087685371047,-1.005683246733107
J5s,-0.23,-0.01,-0.19,-0.16,-0.22,0.03,-0.19,-0.33,-0.33,-0.11,0.05,0.0,-0.07,0.0,0.08,-0.08,-0.09,-0.25,-0.11,-0.14,-0.13,-0.22,-0.18,-0.23,-0.24,-0.11,-0.17,-0.07,-0.07,-0.05,-0.12,-0.12,-0.1,-0.05,-0.08,-0.09,-0.26,-0.02,-0.11,-0.08,-0.05,-0.03,-0.09,-0.1,-0.1,0.18,0.02,-0.07,-0.15,-0.03,-0.02,-0.17,-0.06,-0.08,-2.4954419184048375,0.18081165639662397
J6o,-0.37,-0.11,-0.2,-0.26,-0.3,-0.36,-0.27,-0.35,-0.39,-0.05,-0.03,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.28,-0.16,-0.23,-0.23,-0.24,-0.28,-0.31,-0.27,-0.27,-0.07,-0.05,-0.06,-0.07,-0.11,-0.11,-0.09,-0.06,-0.05,-0.07,-0.04,-0.05,-0.05,-0.04,-0.06,-0.05,-0.04,-0.04,-0.04,-0.04,-0.04,-0.03,-0.04,-0.05,-0.04,-0.04,-0.03,-0.04,-2.9242430831250323,-0.9594973281055037
J6s,-0.27,-0.01,-0.11,-0.15,-0.2,-0.14,-0.25,-0.3,-0.23,0.01,-0.03,-0.04,-0.08,-0.05,0.01,-0.08,0.01,-0.2,-0.09,-0.15,-0.19,-0.15,-0.15,-0.17,-0.11,-0.22,-0.19,-0.04,-0.1,-0.18,-0.18,-0.07,-0.12,-0.11,-0.09,-0.26,-0.04,0.0,-0.11,-0.15,-0.13,-0.07,-0.1,-0.05,-0.05,-0.11,-0.15,-0.08,-0.04,-0.07,-0.06,-0.07,-0.1,-0.06,-2.7377877089783724,0.16672712443891774
J7o,-0.35,-0.07,-0.16,-0.25,-0.3,-0.3,-0.26,-0.26,-0.34,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.05,-0.05,-0.28,-0.11,-0.21,-0.22,-0.24,-0.33,-0.23,-0.25,-0.3,-0.1,-0.05,-0.06,-0.09,-0.03,-0.08,-0.1,-0.06,-0.07,-0.06,-0.06,-0.06,-0.05,-0.06,-0.06,-0.04,-0.04,-0.07,-0.04,-0.06,-0.06,-0.05,-0.05,-0.04,-0.04,-0.04,-0.06,-0.05,-2.841401090224248,-0.6026936500609684
J7s,-0.24,0.07,-0.11,-0.07,-0.16,-0.16,-0.17,-0.25,-0.31,-0.08,0.04,0.06,-0.02,0.09,0.07,0.07,-0.04,-0.15,0.01,-0.08,-0.09,-0.13,-0.19,-0.27,-0.08,-0.19,-0.12,-0.01,-0.04,-0.06,0.03,-0.13,-0.22,-0.02,-0.04,-0.01,-0.07,0.11,-0.07,-0.01,0.13,-0.07,-0.13,-0.13,-0.11,0.03,-0.02,0.0,-0.06,-0.07,-0.05,-0.08,-0.07,-0.02,-1.5993733952395246,0.5512685006381854
J8o,-0.26,-0.01,-0.09,-0.16,-0.23,-0.24,-0.27,-0.29,-0.32,-0.06,0.03,-0.03,-0.04,-0.05,-0.05,-0.08,-0.05,-0.28,-0.06,-0.15,-0.19,-0.17,-0.24,-0.21,-0.26,-0.23,-0.07,-0.07,-0.07,-0.04,-0.04,-0.08,-0.09,-0.08,-0.05,-0.03,-0.07,-0.1,-0.07,-0.07,0.01,-0.09,-0.06,-0.05,-0.08,-0.01,-0.04,-0.02,-0.09,-0.06,-0.09,-0.04,-0.02,-0.06,-2.46059790268874,0.023070792300361312
J8s,-0.23,0.12,-0.01,-0.04,-0.09,-0.13,-0.23,-0.06,-0.16,-0.02,0.21,0.08,0.03,0.18,0.01,0.01,0.06,-0.1,0.03,-0.07,-0.07,-0.07,-0.11,-0.08,-0.18,-0.09,-0.06,0.04,0.01,-0.11,-0.03,0.05,-0.04,-0.18,0.03,-0.03,0.03,0.0,-0.04,-0.12,0.03,0.0,-0.02,-0.02,-0.03,-0.28,-0.03,-0.04,-0.05,0.05,-0.06,0.02,0.02,-0.01,-0.7774893025258043,0.9792387164444215
J9o,-0.27,0.03,-0.09,-0.14,-0.15,-0.17,-0.27,-0.28,-0.26,-0.05,0.09,0.01,-0.01,-0.02,-0.07,0.04,0.01,-0.22,-0.01,-0.01,-0.1,-0.17,-0.09,-0.21,-0.21,-0.22,-0.15,-0.02,-0.05,-0.12,-0.07,-0.1,-0.08,-0.07,-0.03,0.03,-0.09,-0.05,-0.09,-0.07,-0.07,-0.04,-0.07,-0.07,-0.08,-0.02,-0.08,-0.08,-0.09,-0.05,-0.08,-0.09,-0.04,-0.07,-2.0638208987788773,0.6112422078037801
J9s,-0.12,0.12,0.12,0.0,0.01,-0.11,0.07,-0.08,-0.02,0.18,0.25,0.16,0.15,0.06,0.3,0.09,0.0,-0.04,0.13,0.05,0.05,0.01,-0.09,-0.09,-0.1,-0.04,-0.09,0.09,0.13,-0.16,0.0,0.0,-0.06,-0.04,0.11,0.15,0.06,0.0,-0.07,-0.11,0.16,-0.13,0.18,0.01,-0.03,0.06,0.01,0.0,-0.01,0.17,0.05,0.0,0.12,0.07,0.8175993594260537,1.3142561929168726
JJo,0.63,0.73,0.86,0.87,0.9,0.9,0.55,0.79,0.65,0.89,1.0,1.04,1.03,1.03,1.14,0.74,0.91,0.67,0.68,0.87,0.89,0.9,0.77,0.54,0.78,0.67,0.83,0.92,0.96,0.69,0.72,0.78,0.72,0.66,0.96,0.83,0.89,0.89,0.76,0.86,0.94,1.08,0.75,0.87,0.76,0.96,0.94,0.8,0.91,0.93,0.81,1.01,0.97,1.01,20.62512056511156,1.3661448635956348
JTo,-0.19,0.09,0.02,-0.04,-0.08,-0.12,-0.19,-0.2,-0.15,-0.01,0.15,0.14,0.08,0.13,0.06,0.03,0.03,-0.2,0.07,-0.01,-0.02,-0.07,-0.11,-0.07,-0.11,-0.12,-0.12,0.1,-0.03,-0.08,0.03,-0.08,-0.1,-0.11,0.06,0.05,-0.06,-0.05,-0.06,-0.02,0.03,0.01,-0.06,-0.08,-0.07,0.04,0.01,-0.07,-0.02,-0.05,-0.04,0.0,-0.04,-0.03,-0.7183332813278216,1.173079552051688
JTs,0.01,0.15,0.18,0.14,0.12,-0.03,0.2,0.0,0.04,0.15,0.32,0.25,0.25,0.17,0.31,0.25,0.21,0.07,0.18,0.15,0.07,0.13,0.03,0.22,0.07,-0.05,-0.04,0.21,0.21,0.13,0.29,0.03,0.13,0.09,0.31,0.13,0.21,0.15,0.03,0.01,0.1,0.2,0.07,0.16,0.14,0.12,0.23,0.19,0.17,0.17,0.14,0.12,0.45,0.2,3.6170883621551195,0.9537556075126826
K2o,-0.37,-0.09,-0.2,-0.26,-0.3,-0.26,-0.27,-0.32,-0.35,-0.06,-0.06,-0.07,-0.07,-0.03,-0.06,-0.06,-0.05,-0.26,-0.19,-0.22,-0.25,-0.26,-0.29,-0.28,-0.3,-0.29,-0.11,-0.08,-0.11,-0.12,-0.07,-0.12,-0.1,-0.06,-0.08,-0.12,-0.07,-0.07,-0.07,-0.06,-0.12,-0.07,-0.05,-0.07,-0.07,-0.09,-0.07,-0.06,-0.07,-0.04,-0.06,-0.05,-0.06,-0.05,-3.2797855785066568,-0.7827858497786285
K2s,-0.22,0.01,-0.12,-0.13,-0.11,-0.22,-0.04,-0.33,-0.22,-0.12,0.05,0.0,0.04,-0.05,-0.05,-0.11,-0.02,-0.15,-0.05,-0.14,-0.08,-0.17,-0.21,-0.12,-0.17,-0.17,-0.16,-0.06,-0.03,-0.11,-0.19,-0.12,-0.03,-0.03,-0.05,-0.05,-0.12,-0.12,-0.14,-0.07,-0.11,-0.12,-0.02,0.01,-0.09,-0.12,0.0,-0.09,-0.09,0.02,-0.13,-0.05,-0.09,0.0,-2.248252340066927,0.4225171960217578
K3o,-0.38,-0.07,-0.19,-0.26,-0.29,-0.27,-0.32,-0.35,-0.33,-0.05,-0.04,-0.05,-0.05,-0.08,-0.04,-0.03,-0.03,-0.27,-0.16,-0.21,-0.25,-0.26,-0.3,-0.26,-0.25,-0.29,-0.13,-0.07,-0.1,-0.12,-0.11,-0.12,-0.09,-0.06,-0.1,-0.07,-0.07,-0.03,-0.07,-0.07,-0.01,-0.04,-0.08,-0.07,-0.07,-0.09,-0.05,-0.07,-0.08,-0.08,-0.03,-0.06,-0.05,-0.06,-3.152850490759406,-0.6995323044708001
K3s,-0.12,0.02,-0.02,-0.11,-0.13,-0.26,-0.1,-0.23,-0.25,-0.05,0.1,-0.01,-0.05,-0.06,-0.08,-0.09,-0.04,-0.12,-0.05,-0.08,-0.13,-0.17,-0.14,-0.11,-0.06,-0.16,-0.1,-0.04,-0.05,-0.17,-0.12,-0.1,-0.13,-0.12,-0.04,-0.18,-0.01,-0.07,-0.02,-0.1,-0.18,-0.02,-0.13,-0.05,-0.03,-0.07,-0.09,-0.1,-0.09,-0.04,-0.04,-0.01,-0.03,-0.08,-2.091954039460037,0.589160266279596
K4o,-0.37,-0.04,-0.18,-0.21,-0.28,-0.24,-0.32,-0.3,-0.32,0.01,-0.06,-0.06,-0.05,0.06,-0.06,-0.06,-0.06,-0.3,-0.18,-0.19,-0.22,-0.25,-0.26,-0.28,-0.27,-0.29,-0.11,-0.06,-0.1,-0.2,-0.1,-0.14,-0.12,-0.08,-0.06,-0.09,-0.08,-0.07,-0.07,-0.07,-0.04,-0.05,-0.08,-0.05,-0.06,-0.07,-0.07,-0.08,-0.08,-0.05,-0.07,-0.07,-0.05,-0.06,-3.1097042032518405,-0.508701778382559
K4s,-0.07,0.05,0.0,-0.1,-0.11,0.16,-0.05,0.09,-0.2,-0.09,0.15,-0.01,0.01,0.11,-0.15,0.1,-0.06,-0.16,-0.01,-0.04,-0.08,-0.12,-0.19,-0.21,-0.22,-0.18,-0.09,0.04,-0.04,-0.14,-0.15,-0.1,-0.02,-0.09,-0.03,-0.17,-0.03,-0.01,-0.03,0.03,0.0,-0.04,-0.08,-0.12,-0.04,0.06,-0.02,-0.05,-0.07,-0.01,-0.02,-0.06,-0.03,-0.03,-1.204442685480215,0.9659319681393882
K5o,-0.34,-0.04,-0.17,-0.23,-0.26,-0.34,-0.28,-0.28,-0.32,-0.03,-0.03,-0.07,-0.07,-0.05,-0.03,-0.03,-0.05,-0.29,-0.13,-0.19,-0.22,-0.25,-0.26,-0.24,-0.29,-0.25,-0.11,-0.09,-0.09,-0.11,-0.09,-0.1,-0.1,-0.08,-0.07,-0.08,-0.11,-0.09,-0.07,-0.07,-0.11,-0.07,-0.06,-0.06,-0.09,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.07,-0.07,-0.09,-3.101795520279309,-0.41443881637422925
K5s,-0.13,0.08,0.05,-0.1,-0.14,0.07,-0.21,-0.15,-0.16,0.01,0.09,0.04,-0.02,0.1,0.08,-0.05,-0.08,-0.21,0.02,-0.02,-0.1,-0.16,-0.06,-0.15,-0.24,-0.17,-0.06,0.0,0.01,-0.02,-0.17,-0.07,-0.13,-0.04,-0.05,0.04,0.06,0.02,-0.02,-0.06,0.23,-0.04,-0.08,-0.12,-0.01,-0.06,-0.01,-0.03,0.01,-0.04,-0.07,-0.08,-0.04,0.02,-1.050309164837059,0.8239884568235142
K6o,-0.32,-0.01,-0.13,-0.18,-0.25,-0.3,-0.23,-0.29,-0.31,-0.06,-0.02,-0.05,-0.05,-0.09,-0.05,-0.04,-0.05,-0.27,-0.11,-0.17,-0.18,-0.22,-0.19,-0.19,-0.22,-0.23,-0.1,-0.07,-0.11,-0.12,-0.16,-0.07,-0.13,-0.05,-0.07,-0.04,-0.09,-0.07,-0.06,-0.07,-0.1,-0.05,-0.06,-0.09,-0.06,-0.06,-0.06,-0.07,-0.07,-0.07,-0.06,-0.06,-0.04,-0.06,-2.798381770553173,-0.19629120191095414
K6s,-0.17,0.05,-0.07,-0.02,-0.09,0.13,-0.11,-0.22,-0.22,-0.03,0.03,0.0,0.03,0.1,0.0,0.1,0.16,-0.17,0.05,-0.06,-0.1,-0.14,-0.13,-0.11,-0.07,-0.17,-0.11,0.07,-0.02,-0.14,-0.04,-0.06,0.02,0.03,-0.01,-0.07,-0.09,-0.1,-0.04,-0.03,0.07,0.02,-0.03,-0.08,-0.08,-0.02,-0.07,-0.06,-0.06,-0.07,-0.12,0.07,-0.1,0.01,-1.0360254033675427,0.710725889814721
K7o,-0.32,-0.02,-0.12,-0.16,-0.21,-0.25,-0.27,-0.27,-0.3,-0.04,0.01,-0.04,-0.04,-0.12,-0.03,-0.09,-0.08,-0.26,-0.1,-0.12,-0.16,-0.21,-0.24,-0.3,-0.23,-0.29,-0.13,-0.05,-0.08,-0.1,-0.1,-0.1,-0.13,-0.09,-0.07,-0.16,-0.08,-0.09,-0.08,-0.07,-0.1,-0.05,-0.06,-0.08,-0.07,-0.06,0.02,-0.06,-0.08,-0.05,-0.06,-0.06,-0.06,-0.05,-2.8216265730875283,0.009618185654536912
