hand,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10,ev_pc1,ev_pc2
77o,-0.01,0.3,0.25,0.16,0.15,-0.05,-0.06,-0.03,0.04,0.15,0.41,0.36,0.28,0.13,0.19,0.29,0.16,-0.06,0.3,0.25,0.15,0.18,0.07,-0.09,0.03,0.01,0.03,0.33,0.17,0.03,0.21,0.05,0.0,0.11,0.3,0.16,0.01,0.24,0.19,0.07,0.09,0.03,0.06,0.03,0.14,0.28,0.13,0.05,0.11,0.24,0.03,0.19,0.16,0.16,3.348305636363396,1.9548561507257012
82o,-0.4,-0.18,-0.27,-0.32,-0.37,-0.33,-0.36,-0.36,-0.41,-0.01,-0.02,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.27,-0.23,-0.25,-0.26,-0.26,-0.25,-0.27,-0.26,-0.28,-0.08,-0.03,-0.04,-0.09,-0.08,-0.04,-0.09,0.02,-0.01,-0.03,-0.01,-0.01,-0.02,-0.01,-0.03,-0.01,0.0,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-2.7083466192265053,-1.653156110006627
82s,-0.35,-0.14,-0.15,-0.22,-0.32,-0.3,-0.15,-0.28,-0.31,-0.03,-0.06,-0.08,-0.08,-0.11,-0.1,-0.06,-0.08,-0.26,-0.22,-0.22,-0.27,-0.25,-0.22,-0.34,-0.25,-0.23,-0.15,-0.1,-0.11,-0.26,-0.28,-0.11,-0.1,-0.08,-0.08,-0.12,-0.06,-0.06,-0.1,-0.09,-0.12,-0.09,-0.09,-0.03,-0.08,-0.1,-0.04,-0.06,-0.06,-0.06,-0.06,-0.06,-0.07,0.05,-3.4368470641140845,-0.8215337479819104
83o,-0.41,-0.16,-0.29,-0.33,-0.38,-0.34,-0.29,-0.38,-0.39,-0.01,-0.02,-0.01,-0.02,0.04,-0.02,-0.02,-0.02,-0.29,-0.23,-0.26,-0.25,-0.25,-0.24,-0.28,-0.28,-0.27,-0.08,-0.03,-0.03,-0.08,-0.08,-0.08,-0.08,-0.04,-0.02,-0.03,-0.03,-0.03,-0.02,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-2.745854982723214,-1.5733824792618352
83s,-0.31,-0.14,-0.25,-0.22,-0.29,-0.37,-0.28,-0.31,-0.34,-0.12,-0.06,-0.08,-0.1,-0.09,-0.15,-0.06,-0.09,-0.25,-0.19,-0.26,-0.25,-0.24,-0.29,-0.31,-0.25,-0.29,-0.12,-0.11,-0.09,-0.11,-0.19,-0.09,-0.13,-0.07,-0.08,-0.16,-0.12,0.07,-0.17,-0.07,-0.09,-0.14,-0.12,-0.1,-0.09,-0.03,-0.08,-0.06,-0.11,-0.05,-0.05,-0.05,-0.08,-0.08,-3.6357430424649695,-0.819218672414481
84o,-0.38,-0.13,-0.25,-0.29,-0.34,-0.35,-0.36,-0.3,-0.35,-0.02,-0.02,-0.01,-0.01,-0.03,-0.02,-0.04,-0.02,-0.28,-0.22,-0.25,-0.26,-0.26,-0.33,-0.27,-0.3,-0.29,-0.08,-0.03,-0.05,-0.07,-0.11,-0.07,-0.07,-0.03,-0.02,-0.02,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.02,-0.03,-0.02,-0.01,-0.02,-0.06,-0.02,-0.02,-0.02,-0.01,-2.8066074002853068,-1.3652622410292365
84s,-0.3,-0.05,-0.15,-0.18,-0.28,-0.17,-0.02,-0.29,-0.28,-0.14,-0.08,-0.04,-0.07,0.19,0.1,-0.08,-0.08,-0.2,-0.17,-0.19,-0.2,-0.22,-0.14,-0.26,-0.19,-0.15,-0.12,-0.08,-0.1,-0.12,-0.11,-0.11,-0.16,-0.1,-0.07,-0.09,-0.07,-0.04,-0.11,-0.08,-0.12,-0.06,-0.11,-0.09,-0.1,-0.07,-0.08,-0.1,-0.08,0.13,-0.13,-0.09,-0.07,-0.14,-2.752137729446895,-0.16279426973636302
85o,-0.36,-0.13,-0.22,-0.27,-0.3,-0.27,-0.32,-0.34,-0.35,-0.02,-0.02,-0.01,-0.02,-0.07,0.0,-0.02,-0.03,-0.25,-0.21,-0.21,-0.23,-0.25,-0.32,-0.29,-0.25,-0.26,-0.07,-0.03,-0.04,-0.07,-0.08,-0.06,-0.05,-0.03,-0.02,-0.03,-0.01,-0.02,-0.03,-0.03,-0.02,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.02,-0.03,-0.03,0.0,-0.02,-0.02,-2.604822194661954,-1.2161362326010792
85s,-0.27,-0.1,-0.12,-0.17,-0.2,-0.12,-0.2,-0.25,-0.26,-0.03,-0.02,0.0,-0.05,-0.22,-0.05,-0.02,-0.1,-0.23,-0.13,-0.09,-0.16,-0.2,-0.29,-0.34,-0.19,-0.22,-0.1,-0.09,-0.09,-0.08,-0.11,-0.07,-0.12,-0.1,-0.04,-0.11,0.0,-0.11,-0.08,-0.05,-0.07,-0.08,-0.12,-0.12,-0.1,-0.04,-0.14,0.01,-0.1,-0.1,-0.11,-0.05,-0.09,-0.11,-2.8510304150466665,-0.018682925933907323
86o,-0.3,-0.06,-0.21,-0.23,-0.27,-0.31,-0.3,-0.35,-0.31,-0.02,-0.03,-0.03,-0.03,-0.05,-0.01,-0.05,-0.04,-0.25,-0.18,-0.21,-0.21,-0.24,-0.22,-0.26,-0.26,-0.23,-0.09,-0.04,-0.06,-0.08,-0.08,-0.09,-0.09,-0.03,-0.04,-0.08,-0.03,-0.03,-0.05,-0.05,-0.05,0.01,-0.02,-0.04,-0.04,-0.04,-0.03,-0.03,-0.03,-0.01,-0.03,-0.03,-0.04,-0.03,-2.6071973719384114,-0.8736369587428919
