,class,High Card,Pair,Two Pair,Three of a Kind,Straight,Flush,Full House,Four of a Kind,Straight Flush,Royal Flush
0,High Card,359403,0,0,0,180,8,0,0,0,0
1,Pair,0,303155,0,0,13,0,0,0,0,0
2,Two Pair,0,0,34180,0,0,0,0,0,0,0
3,Three of a Kind,0,0,0,15143,0,0,1,0,0,0
4,Straight,0,0,0,0,2784,0,0,0,0,0
5,Flush,0,0,0,0,0,1432,0,0,3,0
6,Full House,0,0,0,0,0,0,1022,0,0,0
7,Four of a Kind,0,0,0,0,0,0,0,165,0,0
8,Straight Flush,0,0,0,0,0,1,0,0,11,0
9,Royal Flush,0,0,0,0,0,0,0,0,6,0
