train_loss,train_accuracy,epochs
0.011875875051353768,0.9989918797540187,176
0.009681500047269028,0.9993788678484438,177
0.009548899067683764,0.9991935038032149,178
0.00949651815052692,0.9995154518817703,179
0.01676533265995635,0.9987024516833982,180
0.010574259904557362,0.9993951278524112,181
0.013678004418593423,0.9989983837556057,182
0.011962526912566393,0.9994731758714549,183
0.014523316790478013,0.9992097638071824,184
0.0098396965535745,0.9995707358952596,185
0.010001565840367143,0.9994569158674874,186
0.00970814837393646,0.9995317118857378,187
0.01994646462353164,0.9991772437992474,188
0.010190101942353308,0.9996845559230316,189
0.010024542652055558,0.999573987896053,190
0.009039874148620524,0.9994861838746288,191
0.009510374321469865,0.9997235799325535,192
0.011726008146281806,0.9990374077651275,193
0.00906501566456857,0.9997040679277925,194
0.008810061345577071,0.9995609798928791,195
0.010500906970040655,0.9994796798730419,196
0.008304373258526022,0.999726831933347,197
0.008574462890331758,0.9997105719293795,198
0.009593768578651454,0.9996650439182707,199
0.007426813698634798,0.9997593519412818,200
0.009123384811514468,0.9996390279119228,201
0.010419767523267856,0.9993561038428893,202
0.009814678905950162,0.9996455319135098,203
0.008837633842443826,0.9997073199285861,204
0.008426830236958524,0.99972032793176,205
0.008068004865749807,0.9996943119254121,206
0.016329102558619905,0.9990016357563991,207
0.009015337865210422,0.9998439039619126,208
0.009065331693752149,0.9996260199087489,209
0.008706893642877802,0.9996975639262056,210
0.008410694549258881,0.9997886199484233,211
0.013117701574588022,0.9991707397976605,212
0.008492749529160844,0.999593499900814,213
0.008741640671927562,0.9998081319531842,214
0.008516165248697681,0.9996650439182707,215
0.015198299325906715,0.9989300917389424,216
0.014764993797963899,0.9993495998413023,217
0.011898722715684354,0.9994699238706615,218
0.008792501139278298,0.9996487839143032,219
0.00896116879568381,0.9992780558238457,220
0.008184725298203788,0.9996845559230316,221
0.011154378385061456,0.9994178918579656,222
0.008372963000306639,0.9996552879158902,223
0.01547596497742123,0.9988227757127572,224
0.009714538306091794,0.9996162639063684,225
