hand,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,suited_broadway,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,tot_win_perc,high_card_win_perc,one_pair_win_perc,two_pair_win_perc,three_of_a_kind_win_perc,straight_win_perc,flush_win_perc,full_house_win_perc,four_of_a_kind_win_perc,straight_flush_win_perc,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10
K2s,1,11,0,11,0,11,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.533435843249303,0.0757117569465647,0.3811460732429189,0.294509164093273,0.0650645749364905,0.0229873620701627,0.1211683981494165,0.0369670406804377,0.0022808338179101,0.0001647960628253,-0.22,0.01,-0.12,-0.13,-0.11,-0.22,-0.04,-0.33,-0.22,-0.12,0.05,0.0,0.04,-0.05,-0.05,-0.11,-0.02,-0.15,-0.05,-0.14,-0.08,-0.17,-0.21,-0.12,-0.17,-0.17,-0.16,-0.06,-0.03,-0.11,-0.19,-0.12,-0.03,-0.03,-0.05,-0.05,-0.12,-0.12,-0.14,-0.07,-0.11,-0.12,-0.02,0.01,-0.09,-0.12,0.0,-0.09,-0.09,0.02,-0.13,-0.05,-0.09,0.0
K3o,0,10,0,11,1,10,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.5148802060853988,0.0868004158220484,0.4242522879359241,0.3163922346929749,0.068585526838572,0.0323980487734504,0.0304246027502232,0.038563588870047,0.0023690705181343,0.0002142237986253,-0.38,-0.07,-0.19,-0.26,-0.29,-0.27,-0.32,-0.35,-0.33,-0.05,-0.04,-0.05,-0.05,-0.08,-0.04,-0.03,-0.03,-0.27,-0.16,-0.21,-0.25,-0.26,-0.3,-0.26,-0.25,-0.29,-0.13,-0.07,-0.1,-0.12,-0.11,-0.12,-0.09,-0.06,-0.1,-0.07,-0.07,-0.03,-0.07,-0.07,-0.01,-0.04,-0.08,-0.07,-0.07,-0.09,-0.05,-0.07,-0.08,-0.08,-0.03,-0.06,-0.05,-0.06
K3s,1,10,0,11,1,10,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5422260100209289,0.0755393191538583,0.381784938368729,0.2921884118121306,0.0638914426872405,0.0283975035820377,0.11921580680668,0.0365351632692169,0.0022444585867773,0.0002029557333293,-0.12,0.02,-0.02,-0.11,-0.13,-0.26,-0.1,-0.23,-0.25,-0.05,0.1,-0.01,-0.05,-0.06,-0.08,-0.09,-0.04,-0.12,-0.05,-0.08,-0.13,-0.17,-0.14,-0.11,-0.06,-0.16,-0.1,-0.04,-0.05,-0.17,-0.12,-0.1,-0.13,-0.12,-0.04,-0.18,-0.01,-0.07,-0.02,-0.1,-0.18,-0.02,-0.13,-0.05,-0.03,-0.07,-0.09,-0.1,-0.09,-0.04,-0.04,-0.01,-0.03,-0.08
K4o,0,9,0,11,2,9,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.5242962915442801,0.0864018267272931,0.4236793166155235,0.3132985105197623,0.0672233645971327,0.0383226388381526,0.0304543499209825,0.0380403991925741,0.0023268952195429,0.000252698369036,-0.37,-0.04,-0.18,-0.21,-0.28,-0.24,-0.32,-0.3,-0.32,0.01,-0.06,-0.06,-0.05,0.06,-0.06,-0.06,-0.06,-0.3,-0.18,-0.19,-0.22,-0.25,-0.26,-0.28,-0.27,-0.29,-0.11,-0.06,-0.1,-0.2,-0.1,-0.14,-0.12,-0.08,-0.06,-0.09,-0.08,-0.07,-0.07,-0.07,-0.04,-0.05,-0.08,-0.05,-0.06,-0.07,-0.07,-0.08,-0.08,-0.05,-0.07,-0.07,-0.05,-0.06
K4s,1,9,0,11,2,9,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5508771718184482,0.0753759537122524,0.3822407138064203,0.2900200108207293,0.0627687266947228,0.0336704663252339,0.1173499176546782,0.036124535825261,0.0022097036704182,0.0002399714902836,-0.07,0.05,0.0,-0.1,-0.11,0.16,-0.05,0.09,-0.2,-0.09,0.15,-0.01,0.01,0.11,-0.15,0.1,-0.06,-0.16,-0.01,-0.04,-0.08,-0.12,-0.19,-0.21,-0.22,-0.18,-0.09,0.04,-0.04,-0.14,-0.15,-0.1,-0.02,-0.09,-0.03,-0.17,-0.03,-0.01,-0.03,0.03,0.0,-0.04,-0.08,-0.12,-0.04,0.06,-0.02,-0.05,-0.07,-0.01,-0.02,-0.06,-0.03,-0.03
K5o,0,8,0,11,3,8,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.534563794985738,0.0875025279092821,0.4228819631556383,0.3095564111510251,0.0657691577712725,0.0439241391011455,0.0303599577063841,0.0374365996333773,0.002280178869744,0.0002890647021307,-0.34,-0.04,-0.17,-0.23,-0.26,-0.34,-0.28,-0.28,-0.32,-0.03,-0.03,-0.07,-0.07,-0.05,-0.03,-0.03,-0.05,-0.29,-0.13,-0.19,-0.22,-0.25,-0.26,-0.24,-0.29,-0.25,-0.11,-0.09,-0.09,-0.11,-0.09,-0.1,-0.1,-0.08,-0.07,-0.08,-0.11,-0.09,-0.07,-0.07,-0.11,-0.07,-0.06,-0.06,-0.09,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.07,-0.07,-0.09
K5s,1,8,0,11,3,8,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5602914753685008,0.0765296289804932,0.3825554034688774,0.2872980357002341,0.0615667837896404,0.0386916846481234,0.1152698610999636,0.0356424872251429,0.0021709035284132,0.0002752115591114,-0.13,0.08,0.05,-0.1,-0.14,0.07,-0.21,-0.15,-0.16,0.01,0.09,0.04,-0.02,0.1,0.08,-0.05,-0.08,-0.21,0.02,-0.02,-0.1,-0.16,-0.06,-0.15,-0.24,-0.17,-0.06,0.0,0.01,-0.02,-0.17,-0.07,-0.13,-0.04,-0.05,0.04,0.06,0.02,-0.02,-0.06,0.23,-0.04,-0.08,-0.12,-0.01,-0.06,-0.01,-0.03,0.01,-0.04,-0.07,-0.08,-0.04,0.02
K6o,0,7,0,11,4,7,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.5439249164369245,0.0891679381577233,0.4262053036246986,0.3073763136258703,0.0645861876446179,0.0430479571060999,0.0302516040172531,0.036846697074336,0.0022347001998363,0.0002832985495642,-0.32,-0.01,-0.13,-0.18,-0.25,-0.3,-0.23,-0.29,-0.31,-0.06,-0.02,-0.05,-0.05,-0.09,-0.05,-0.04,-0.05,-0.27,-0.11,-0.17,-0.18,-0.22,-0.19,-0.19,-0.22,-0.23,-0.1,-0.07,-0.11,-0.12,-0.16,-0.07,-0.13,-0.05,-0.07,-0.04,-0.09,-0.07,-0.06,-0.07,-0.1,-0.05,-0.06,-0.09,-0.06,-0.06,-0.06,-0.07,-0.07,-0.07,-0.06,-0.06,-0.04,-0.06
K6s,1,7,0,11,4,7,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.568938879241124,0.0781475270830991,0.3865158439016702,0.2859360182663176,0.0605960521530397,0.0380062935347254,0.1132346744806048,0.0351608011743113,0.0021324529917056,0.0002703364145258,-0.17,0.05,-0.07,-0.02,-0.09,0.13,-0.11,-0.22,-0.22,-0.03,0.03,0.0,0.03,0.1,0.0,0.1,0.16,-0.17,0.05,-0.06,-0.1,-0.14,-0.13,-0.11,-0.07,-0.17,-0.11,0.07,-0.02,-0.14,-0.04,-0.06,0.02,0.03,-0.01,-0.07,-0.09,-0.1,-0.04,-0.03,0.07,0.02,-0.03,-0.08,-0.08,-0.02,-0.07,-0.06,-0.06,-0.07,-0.12,0.07,-0.1,0.01
K7o,0,6,0,11,5,6,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.5537772397491616,0.0912798663792307,0.4295737623025373,0.3048186087307901,0.0634045729985808,0.042145204168421,0.0300853457164019,0.0362274402139512,0.0021878419564277,0.0002773575336588,-0.32,-0.02,-0.12,-0.16,-0.21,-0.25,-0.27,-0.27,-0.3,-0.04,0.01,-0.04,-0.04,-0.12,-0.03,-0.09,-0.08,-0.26,-0.1,-0.12,-0.16,-0.21,-0.24,-0.3,-0.23,-0.29,-0.13,-0.05,-0.08,-0.1,-0.1,-0.1,-0.13,-0.09,-0.07,-0.16,-0.08,-0.09,-0.08,-0.07,-0.1,-0.05,-0.06,-0.08,-0.07,-0.06,0.02,-0.06,-0.08,-0.05,-0.06,-0.06,-0.06,-0.05
