hand,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,suited_broadway,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,tot_win_perc,high_card_win_perc,one_pair_win_perc,two_pair_win_perc,three_of_a_kind_win_perc,straight_win_perc,flush_win_perc,full_house_win_perc,four_of_a_kind_win_perc,straight_flush_win_perc,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10
Q2o,0,10,0,10,0,10,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.4717181660664534,0.0773288314456364,0.4131660357034982,0.3257216568086284,0.0718219619041663,0.0354620959756072,0.0319517136009412,0.0418068504617369,0.0025065813771014,0.0002342727226836,-0.4,-0.11,-0.22,-0.27,-0.33,-0.35,-0.37,-0.33,-0.38,-0.04,-0.06,-0.05,-0.05,-0.02,-0.04,-0.03,-0.03,-0.3,-0.23,-0.24,-0.25,-0.26,-0.29,-0.3,-0.25,-0.28,-0.11,-0.07,-0.07,-0.06,-0.09,-0.1,-0.1,-0.05,-0.05,-0.05,-0.04,-0.05,-0.06,-0.04,-0.07,-0.04,-0.05,-0.04,-0.05,-0.05,0.0,-0.03,-0.05,-0.05,-0.03,-0.04,-0.02,-0.04
Q2s,1,10,0,10,0,10,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5017632532443549,0.0665983254490155,0.3684162021424743,0.2979940519841645,0.0663070463431844,0.0307681053569525,0.1281393876431346,0.0392065054149347,0.0023506744767641,0.000219701189375,-0.24,-0.01,-0.09,-0.15,-0.22,-0.15,-0.22,-0.27,-0.13,-0.08,-0.07,-0.06,-0.08,-0.11,-0.1,0.01,-0.07,-0.29,-0.16,-0.18,-0.15,-0.17,-0.17,-0.12,-0.17,-0.23,-0.11,-0.08,-0.12,-0.15,-0.13,-0.08,-0.12,-0.1,-0.06,-0.24,0.0,-0.1,-0.13,-0.11,-0.06,0.03,-0.12,-0.08,-0.1,-0.03,-0.04,-0.06,-0.05,-0.25,-0.05,-0.11,-0.06,-0.1
Q3o,0,9,0,10,1,9,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.4813769814575682,0.0770739519002013,0.4128841821497817,0.3220965332809185,0.0702397400169047,0.0418199838418577,0.0319991825031358,0.0411539279982874,0.002456738548355,0.0002757597605577,-0.34,-0.11,-0.23,-0.28,-0.3,-0.34,-0.32,-0.34,-0.33,-0.04,-0.04,-0.03,-0.05,-0.07,-0.03,-0.04,-0.04,-0.27,-0.19,-0.23,-0.23,-0.28,-0.16,-0.26,-0.28,-0.29,-0.12,-0.06,-0.07,-0.12,-0.11,-0.09,-0.1,-0.03,-0.04,-0.07,-0.09,-0.05,-0.05,-0.05,-0.06,-0.04,-0.04,-0.04,-0.03,-0.06,-0.04,-0.04,-0.05,-0.03,-0.03,-0.05,-0.04,-0.04
Q3s,1,9,0,10,1,9,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5106350614938847,0.0665740125867591,0.3692849152332965,0.2955215129586643,0.0650290682954592,0.03638843290401,0.1259283778741432,0.0387038591187995,0.002310478423134,0.0002593426057338,-0.33,0.0,-0.12,-0.18,-0.17,-0.24,-0.03,-0.22,-0.23,0.01,-0.01,-0.02,-0.03,-0.06,-0.02,-0.08,-0.01,-0.27,-0.1,-0.08,-0.18,-0.17,-0.19,-0.24,-0.26,-0.24,-0.01,0.01,-0.11,0.13,-0.1,-0.13,-0.17,-0.12,-0.07,0.01,-0.11,-0.12,-0.09,-0.08,-0.08,-0.13,-0.05,-0.12,-0.01,0.02,-0.14,-0.08,-0.07,-0.04,-0.07,-0.13,-0.05,-0.13
Q4o,0,8,0,10,2,8,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.4908747995345647,0.0768382154408665,0.4124587254016162,0.3187236357789105,0.0687413116268366,0.0479764614518671,0.0319969503665929,0.0405393530087784,0.0024096138942966,0.000315733030235,-0.39,-0.1,-0.22,-0.27,-0.32,-0.33,-0.26,-0.33,-0.35,-0.05,-0.03,-0.05,-0.06,-0.07,-0.06,-0.05,-0.04,-0.27,-0.2,-0.24,-0.24,-0.23,-0.28,-0.3,-0.28,-0.32,-0.08,-0.06,-0.07,-0.06,-0.11,-0.1,-0.09,-0.05,-0.05,-0.07,-0.05,-0.07,-0.05,-0.03,-0.09,-0.06,-0.06,-0.04,-0.04,-0.01,-0.04,-0.05,-0.04,-0.01,-0.04,-0.04,-0.06,-0.03
Q4s,1,8,0,10,2,8,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5193632826729289,0.066553054021551,0.3699520921669187,0.2932101248694052,0.0638093887327728,0.0418568187228946,0.1238214559009306,0.0382271608503774,0.0022721797731857,0.0002977249619637,-0.25,-0.03,-0.08,-0.08,-0.17,-0.33,-0.19,-0.22,-0.27,-0.06,-0.02,-0.08,-0.02,-0.11,0.04,-0.06,-0.08,-0.19,-0.04,-0.1,-0.08,-0.19,-0.15,-0.04,-0.16,-0.25,-0.09,-0.09,-0.1,-0.08,-0.12,-0.1,-0.19,-0.11,-0.06,-0.03,-0.07,-0.09,-0.12,-0.1,0.0,-0.15,-0.03,-0.1,-0.12,-0.08,-0.1,-0.06,-0.07,-0.07,-0.01,-0.01,-0.11,-0.05
Q5o,0,7,0,10,3,7,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.5012550743104514,0.0782260094628657,0.4118235717619098,0.3146473599447595,0.0671467929673057,0.0537502439449906,0.0318593325801043,0.0398358409685167,0.0023576387075625,0.0003532096619848,-0.39,-0.09,-0.21,-0.22,-0.29,-0.18,-0.3,-0.34,-0.34,-0.05,-0.04,-0.03,-0.06,-0.07,-0.06,-0.04,-0.04,-0.31,-0.18,-0.21,-0.24,-0.25,-0.24,-0.3,-0.29,-0.29,-0.1,-0.06,-0.09,-0.08,-0.11,-0.09,-0.09,-0.07,-0.05,-0.07,-0.05,-0.06,-0.04,-0.04,-0.05,-0.02,-0.06,-0.06,-0.05,-0.04,-0.05,-0.04,-0.03,-0.04,-0.05,-0.05,-0.03,-0.04
Q5s,1,7,0,10,3,7,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5288817017989857,0.067947863085829,0.3704963034152115,0.2903015771917236,0.062507298345724,0.0470299856752048,0.1214811637547615,0.0376721971753597,0.0022295859231326,0.0003340254330529,-0.15,0.04,-0.06,-0.19,-0.19,-0.42,-0.17,-0.25,-0.23,-0.09,-0.02,-0.03,-0.02,-0.02,0.0,0.0,-0.04,-0.21,0.0,-0.07,-0.12,-0.16,-0.11,-0.07,-0.25,-0.2,-0.02,-0.02,-0.08,-0.05,-0.01,-0.12,-0.11,-0.03,-0.02,0.03,0.11,-0.11,-0.08,-0.09,-0.05,-0.08,-0.15,-0.08,-0.05,-0.05,-0.07,-0.07,-0.06,-0.02,-0.07,-0.12,-0.06,-0.06
Q6o,0,6,0,10,4,6,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.5106733378879061,0.0800802381871445,0.4156040607498643,0.3123123344198349,0.0658626154966844,0.052612082562229,0.0317154637092892,0.0391597528799092,0.0023077215474364,0.0003457304476077,-0.38,-0.07,-0.18,-0.23,-0.28,-0.29,-0.32,-0.34,-0.35,-0.06,-0.03,-0.04,-0.05,0.04,-0.03,-0.04,-0.05,-0.28,-0.13,-0.22,-0.21,-0.26,-0.26,-0.27,-0.29,-0.29,-0.11,-0.07,-0.07,-0.08,-0.03,-0.12,-0.08,-0.06,-0.05,-0.12,-0.08,-0.06,-0.06,-0.06,-0.04,-0.07,-0.05,-0.05,-0.06,-0.08,-0.06,-0.07,-0.05,-0.06,-0.04,-0.05,-0.04,-0.04
Q6s,1,6,0,10,4,6,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5375786990854152,0.0697180704389395,0.3749146052274398,0.2888894452390448,0.0614662696121125,0.0461510781396594,0.1192179096294724,0.0371269141996738,0.0021879244271832,0.0003277830864742,-0.15,0.0,-0.08,-0.07,-0.13,-0.05,-0.29,-0.17,-0.2,-0.03,0.07,0.01,-0.02,-0.03,-0.11,-0.07,0.07,-0.2,-0.02,-0.08,-0.13,-0.17,-0.11,-0.03,-0.18,-0.23,-0.16,0.0,-0.08,0.03,-0.1,-0.08,-0.09,-0.09,-0.05,0.0,-0.08,-0.05,-0.07,-0.05,-0.03,-0.03,-0.1,-0.17,-0.13,0.18,0.0,-0.02,-0.03,-0.09,-0.09,-0.07,-0.05,-0.03
Q7o,0,5,0,10,5,5,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.5183393609804328,0.0838410984889704,0.4208667227934459,0.3112443575522118,0.0648099433155296,0.0463814457136195,0.0316395922430239,0.0386116539551057,0.0022657450435596,0.0003394408945332,-0.34,-0.05,-0.17,-0.18,-0.29,-0.32,-0.33,-0.3,-0.37,-0.05,-0.04,-0.03,-0.06,-0.06,-0.03,-0.03,-0.03,-0.29,-0.12,-0.16,-0.2,-0.24,-0.23,-0.23,-0.26,-0.29,-0.11,-0.07,-0.09,-0.12,-0.1,-0.07,-0.09,-0.07,-0.07,-0.01,-0.06,-0.06,-0.05,-0.06,-0.06,-0.03,-0.08,-0.03,-0.07,-0.03,-0.06,-0.05,-0.05,-0.05,-0.07,-0.06,-0.05,-0.07
Q7s,1,5,0,10,5,5,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5446096439407995,0.0731322022435654,0.3804922799148278,0.288536080910334,0.0606114182981659,0.0407688216404414,0.1173362010020283,0.0366862775019929,0.002152762017294,0.00028395647135,-0.17,0.03,-0.01,-0.08,-0.11,-0.1,-0.17,-0.17,-0.17,0.04,0.05,0.1,-0.02,0.08,0.08,0.0,-0.05,-0.2,0.0,-0.11,-0.05,-0.12,-0.2,-0.16,-0.22,-0.2,-0.04,0.0,0.0,-0.13,-0.11,-0.09,-0.09,-0.12,0.0,-0.18,0.01,-0.11,-0.12,-0.1,0.19,-0.02,-0.07,-0.16,-0.08,0.06,-0.05,-0.13,-0.04,-0.11,-0.04,-0.03,-0.09,-0.06
Q8o,0,4,0,10,6,4,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.537241234358355,0.0809168589614484,0.4158388553241937,0.3017720824555997,0.0624993606443601,0.0683302418501933,0.0308774060766425,0.037261637969867,0.0021773596850019,0.000326197032693,-0.3,-0.04,-0.14,-0.16,-0.23,-0.26,-0.24,-0.29,-0.32,-0.07,0.01,-0.01,-0.05,-0.03,-0.06,-0.05,-0.04,-0.28,-0.08,-0.12,-0.18,-0.19,-0.24,-0.26,-0.24,-0.28,-0.11,-0.05,-0.08,-0.09,-0.11,-0.12,-0.09,-0.1,-0.08,-0.02,-0.08,-0.05,-0.06,-0.08,-0.04,-0.04,-0.08,-0.07,-0.09,-0.09,-0.07,-0.05,-0.03,-0.08,-0.05,-0.07,-0.07,-0.05
Q8s,1,4,0,10,6,4,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5621675804949521,0.0708682871435135,0.3776567565180532,0.2809893885595535,0.0587056564109955,0.0605958274867086,0.1124544872130953,0.0355580374693582,0.0020778582799732,0.0010937009187487,-0.18,0.11,0.02,0.01,-0.1,0.09,-0.11,-0.11,-0.16,0.02,0.14,0.08,0.02,0.22,0.01,-0.14,0.06,-0.1,0.04,-0.01,-0.03,-0.09,-0.17,-0.19,-0.15,-0.1,-0.07,0.11,0.03,0.02,0.14,-0.09,-0.03,-0.07,-0.02,0.04,-0.03,-0.02,-0.03,-0.12,0.04,0.22,0.01,0.04,0.02,0.03,-0.03,-0.02,0.02,-0.06,-0.08,-0.06,0.01,-0.07
Q9o,0,3,0,10,7,3,offsuit,0,1,0,0,0,0,0,0,1,0,0,0,0.5552604280373178,0.0763928022848416,0.4112063738018033,0.2936220124797772,0.0605088998979467,0.0895554735772273,0.0302244559994894,0.0360761864125438,0.0020992958818791,0.0003144996644912,-0.22,0.02,-0.03,-0.14,-0.18,-0.24,-0.11,-0.24,-0.21,-0.07,0.04,0.07,-0.04,0.1,-0.06,-0.07,-0.03,-0.25,-0.02,-0.09,-0.06,-0.15,-0.22,-0.2,-0.22,-0.2,-0.11,-0.01,-0.06,-0.1,-0.06,-0.1,-0.13,-0.11,-0.03,-0.1,-0.08,-0.02,-0.06,-0.05,-0.02,-0.08,-0.04,-0.09,-0.09,-0.04,-0.04,-0.09,-0.08,-0.06,-0.09,-0.05,-0.07,-0.05
Q9s,1,3,0,10,7,3,suited,0,1,0,0,0,1,0,0,1,0,0,1,0.5789184769649032,0.0671482061054522,0.374934553681807,0.2744666424499863,0.0570531072314423,0.0799168222781962,0.1080582578891394,0.0345594107315238,0.0020111262018257,0.0018518734306266,-0.13,0.16,0.07,0.04,0.01,-0.15,-0.03,-0.01,-0.14,0.0,0.18,0.21,0.19,0.12,0.17,0.23,0.08,-0.07,0.03,0.01,0.04,0.06,0.04,0.06,0.08,-0.02,-0.04,0.2,0.12,0.29,0.09,-0.02,0.04,0.11,0.11,0.07,0.24,-0.06,0.07,0.07,0.05,0.02,0.0,0.05,0.06,0.31,0.08,0.05,-0.07,0.09,-0.01,-0.01,-0.04,0.01
QJo,0,1,0,10,9,1,offsuit,0,2,0,0,0,0,1,0,0,0,0,0,0.5833958631224174,0.0690248655750811,0.4107883590465548,0.28560573014953,0.0582824918903805,0.1100968952936498,0.0295189548407844,0.0344327586392664,0.0019870281693408,0.000262916395412,-0.11,0.11,0.11,0.05,0.03,0.0,-0.16,-0.07,-0.13,0.02,0.25,0.19,0.17,0.24,0.08,0.02,0.03,-0.1,0.16,0.07,0.03,-0.01,-0.14,-0.11,-0.1,-0.12,-0.1,0.12,0.11,-0.03,0.0,-0.02,-0.02,-0.08,0.14,0.01,0.06,0.06,-0.07,-0.01,0.05,0.06,0.03,-0.01,-0.1,0.01,0.12,-0.03,0.03,0.18,-0.02,-0.03,0.04,0.02
QJs,1,1,0,10,9,1,suited,0,2,0,0,0,2,1,0,0,1,0,0,0.6050896735833807,0.0609793325990174,0.3766671634917748,0.2684726204199232,0.0552439314459991,0.0989646238242548,0.1020723275849986,0.0331681782486782,0.0019141847294881,0.0025176376558654,0.07,0.24,0.29,0.16,0.15,0.29,0.14,0.16,0.06,0.23,0.3,0.31,0.35,0.52,0.41,0.11,0.39,0.17,0.16,0.25,0.22,0.31,0.22,-0.04,0.12,0.06,0.15,0.31,0.27,0.15,0.45,0.2,0.25,0.11,0.34,0.39,0.26,0.18,0.13,0.16,0.3,0.26,0.3,0.2,0.3,0.35,0.29,0.21,0.13,0.25,0.25,0.2,0.21,0.34
QQo,0,0,1,10,10,0,pair,0,2,0,0,1,0,0,0,0,0,0,0,0.8010166460077921,0.0,0.3242470393327019,0.3928163036620734,0.1332867241021575,0.0138139197598543,0.0214258648260071,0.1038362086772148,0.0104127268218791,0.0001612128181116,1.22,0.85,1.05,1.14,1.3,0.88,1.04,1.16,1.14,1.36,1.2,1.24,1.46,1.39,1.41,1.33,1.36,1.18,0.88,1.04,1.2,1.31,1.23,1.34,1.13,0.99,1.28,1.18,1.27,1.26,1.21,1.09,1.27,1.21,1.32,0.89,1.12,1.16,1.13,1.21,1.07,1.27,1.32,1.2,1.22,1.5,1.19,1.24,1.24,1.51,1.33,1.22,1.26,1.49
QTo,0,2,0,10,8,2,offsuit,0,2,0,0,0,0,0,1,0,0,0,0,0.5749207871705951,0.0684992035142499,0.4034685525804422,0.2848832607283368,0.0585876489827223,0.1178200309377036,0.0295384141372489,0.0348764426646715,0.0020210619639063,0.000305384490718,-0.16,0.09,0.03,-0.01,-0.04,-0.08,-0.08,-0.09,-0.14,0.01,0.15,0.14,0.06,0.02,0.11,0.01,0.03,-0.16,0.07,-0.01,-0.04,-0.04,-0.01,-0.14,-0.15,-0.14,-0.1,0.09,0.03,-0.04,-0.09,-0.06,-0.12,-0.07,0.07,-0.02,-0.09,-0.08,-0.06,-0.05,0.09,-0.09,-0.04,-0.05,-0.08,0.01,0.02,-0.1,-0.12,-0.03,-0.03,-0.03,0.02,-0.03
QTs,1,2,0,10,8,2,suited,0,2,0,0,0,2,0,1,0,0,1,0,0.59719671954716,0.060430069045593,0.3693715444221423,0.267345572716047,0.0554527801397981,0.105690043345021,0.1036324461610322,0.0335406442547121,0.001943788572274,0.0025931113433799,-0.03,0.2,0.13,0.15,0.16,0.27,0.11,-0.03,0.09,0.07,0.33,0.35,0.3,0.23,0.13,0.31,0.26,0.02,0.19,0.17,0.12,0.11,0.16,-0.09,0.01,0.18,0.04,0.28,0.25,0.4,0.32,0.11,0.1,0.12,0.27,0.27,0.23,0.09,0.24,0.11,0.16,0.18,0.12,0.06,0.02,0.08,0.21,0.11,0.15,0.26,0.29,0.15,0.17,0.12
T2o,0,8,0,8,0,8,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.4124288881426693,0.056179760127962,0.3830602152305997,0.3417636063102571,0.0754953643974664,0.0574105757666636,0.0353334928825637,0.0476390188699161,0.0027403892486076,0.0003775771659634,-0.42,-0.15,-0.25,-0.3,-0.35,-0.33,-0.35,-0.37,-0.37,-0.01,-0.02,-0.03,-0.02,-0.06,-0.02,-0.02,-0.01,-0.28,-0.23,-0.26,-0.25,-0.25,-0.28,-0.26,-0.29,-0.28,-0.1,-0.03,-0.04,-0.09,-0.08,-0.06,-0.08,-0.01,-0.03,-0.04,-0.02,-0.02,-0.03,-0.02,-0.03,0.01,-0.02,-0.02,-0.02,0.01,-0.02,-0.02,-0.02,0.0,-0.02,-0.02,-0.02,-0.01
T2s,1,8,0,8,0,8,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.4459072965531266,0.0475682755842146,0.3369553576997279,0.3079342400738044,0.0687182344169943,0.0489951732315545,0.1430103918526143,0.0439423097654688,0.0025277395735016,0.0003482778021192,-0.31,-0.08,-0.16,-0.22,-0.26,-0.29,-0.29,-0.32,-0.36,-0.1,-0.12,-0.06,-0.07,-0.08,-0.06,-0.08,-0.08,-0.29,-0.17,-0.2,-0.21,-0.24,0.04,-0.3,-0.31,-0.28,-0.11,-0.06,-0.11,-0.13,-0.14,-0.1,-0.11,-0.1,-0.11,-0.19,-0.1,-0.05,-0.11,-0.08,-0.04,-0.06,-0.06,0.02,-0.07,-0.05,-0.07,-0.04,-0.07,-0.06,-0.05,-0.1,-0.01,-0.06
T3o,0,7,0,8,1,7,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.4221472849783974,0.0562408575161763,0.3833845152524955,0.3374163673960085,0.0735960824543596,0.0641961400722109,0.0353098723284814,0.0467564543207647,0.0026778577473774,0.0004218529121253,-0.41,-0.14,-0.21,-0.29,-0.34,-0.39,-0.38,-0.36,-0.41,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.28,-0.25,-0.26,-0.26,-0.26,-0.3,-0.29,-0.25,-0.26,-0.09,-0.03,-0.05,-0.09,-0.08,-0.08,-0.07,-0.03,-0.02,-0.04,-0.04,-0.02,-0.02,-0.03,-0.02,-0.02,-0.03,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.03,-0.02
T3s,1,7,0,8,1,7,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.4548348512495664,0.0477969441081556,0.3385048382967709,0.3051101281076803,0.0672272137042347,0.0549823933274417,0.1402269478109451,0.0432821522133823,0.0024788758752458,0.0003905065561431,-0.3,-0.09,-0.19,-0.25,-0.23,-0.37,-0.09,-0.3,-0.33,-0.11,-0.07,-0.05,-0.06,-0.1,0.04,-0.02,-0.06,-0.23,-0.16,-0.21,-0.23,-0.23,-0.24,-0.24,-0.26,-0.25,-0.11,-0.08,-0.09,-0.19,-0.12,-0.1,-0.13,-0.07,-0.08,-0.22,-0.08,-0.07,-0.08,-0.04,-0.07,0.15,-0.12,-0.09,-0.04,-0.13,-0.07,-0.13,-0.03,-0.07,-0.08,-0.05,-0.04,-0.04
T4o,0,6,0,8,2,6,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.431695930071161,0.0563032584291191,0.3835142193756956,0.3333826908036947,0.0718092703327405,0.0707417903506464,0.0352344685957941,0.0459308391582812,0.0026191276599821,0.0004643352940459,-0.41,-0.13,-0.25,-0.3,-0.35,-0.33,-0.36,-0.37,-0.37,-0.01,-0.02,-0.02,-0.02,-0.04,-0.04,-0.02,-0.03,-0.27,-0.23,-0.24,-0.25,-0.25,-0.24,-0.29,-0.28,-0.27,-0.09,-0.03,-0.05,-0.1,-0.1,-0.08,-0.09,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.01,-0.02,-0.03,-0.03,0.0,0.0,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01
T4s,1,6,0,8,2,6,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.4636118506319628,0.0480156186097601,0.339799332851645,0.3024712918003717,0.0658116874820474,0.0607904041106509,0.137588679401975,0.0426591595938811,0.0024325657203626,0.0004312604293058,-0.33,-0.07,-0.2,-0.18,-0.24,-0.24,-0.31,-0.22,-0.2,-0.06,-0.07,-0.03,-0.08,-0.07,0.04,-0.07,-0.09,-0.26,-0.16,-0.14,-0.25,-0.22,-0.25,-0.16,-0.23,-0.19,-0.12,-0.06,-0.07,-0.06,0.13,-0.14,-0.07,-0.09,-0.06,-0.08,-0.12,-0.11,-0.11,-0.08,-0.11,-0.09,-0.08,-0.12,-0.07,-0.11,-0.07,-0.07,-0.11,-0.07,-0.08,-0.13,-0.07,-0.05
T5o,0,5,0,8,3,5,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.4396190928458753,0.0594522138382093,0.3850631204866742,0.3308135382922793,0.0702577181971419,0.0708997385524018,0.0351922116947245,0.0452463551516676,0.0025689253933845,0.0005061783935166,-0.39,-0.11,-0.24,-0.3,-0.33,-0.38,-0.36,-0.35,-0.38,-0.02,-0.03,-0.02,-0.02,-0.02,-0.03,-0.03,-0.02,-0.29,-0.2,-0.23,-0.24,-0.24,-0.28,-0.26,-0.27,-0.29,-0.09,-0.04,-0.04,-0.1,-0.08,-0.08,-0.08,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03,-0.02,-0.02
T5s,1,5,0,8,3,5,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.4708342449392989,0.0508458160581659,0.3421601018017921,0.3010090362291917,0.0645718669225344,0.0610957056562527,0.1353545437543867,0.0421437566578714,0.0023927695585962,0.0004264033612084,-0.23,-0.04,-0.14,-0.22,-0.24,-0.23,-0.25,-0.25,-0.27,-0.08,-0.05,-0.06,-0.03,-0.09,-0.08,-0.04,-0.07,-0.28,-0.14,-0.2,-0.19,-0.18,0.09,-0.29,-0.18,-0.28,-0.1,-0.06,-0.11,-0.11,-0.11,-0.09,-0.13,-0.07,-0.09,-0.05,0.04,-0.04,-0.09,-0.01,-0.03,-0.16,-0.06,-0.07,-0.09,-0.09,-0.1,-0.07,-0.05,-0.07,-0.19,-0.02,-0.09,-0.04
T6o,0,4,0,8,4,4,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.4590838136962751,0.0579779860130103,0.3795114164977867,0.3190035792049406,0.067187461810115,0.0958187528611155,0.03418741753703,0.0433778685197228,0.0024523190181082,0.0004831985381705,-0.36,-0.1,-0.2,-0.27,-0.28,-0.35,-0.36,-0.34,-0.35,-0.03,-0.02,-0.02,-0.02,-0.03,-0.03,0.02,-0.02,-0.3,-0.19,-0.21,-0.24,-0.23,-0.29,-0.25,-0.24,-0.28,-0.1,-0.01,-0.05,-0.1,-0.08,-0.06,-0.08,-0.04,-0.02,-0.04,0.01,-0.05,-0.03,-0.03,-0.02,-0.02,-0.03,-0.02,-0.01,-0.04,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02
T6s,1,4,0,8,4,4,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.488932982658068,0.0498535132590194,0.3393116163902525,0.2919786650034187,0.0621147478810573,0.0833694148622811,0.1290714391373368,0.0406405178764164,0.0022976188874082,0.0013624667028092,-0.31,-0.04,-0.07,-0.17,-0.19,-0.34,-0.13,-0.26,-0.31,-0.05,0.0,0.0,-0.03,0.22,-0.08,-0.09,-0.11,-0.19,-0.08,-0.12,-0.14,-0.17,-0.12,-0.32,-0.14,-0.26,-0.14,-0.06,-0.06,-0.1,-0.04,-0.14,-0.13,-0.12,-0.08,-0.18,-0.23,-0.01,-0.13,-0.11,-0.06,-0.04,-0.01,-0.09,-0.06,-0.02,0.0,-0.12,-0.11,-0.03,-0.08,-0.07,-0.13,-0.07
T7o,0,3,0,8,5,3,offsuit,0,1,0,0,0,0,0,0,1,0,0,0,0.4781741087963989,0.0565194789233942,0.3738172284942538,0.308041095507601,0.0643786092478783,0.1195006112435,0.0332546585331309,0.0416797109857948,0.0023463016092024,0.0004623054552443,-0.33,-0.06,-0.17,-0.22,-0.25,-0.27,-0.26,-0.28,-0.34,-0.03,-0.02,-0.01,-0.03,-0.03,-0.08,-0.01,-0.01,-0.26,-0.16,-0.2,-0.2,-0.22,-0.21,-0.27,-0.23,-0.28,-0.07,-0.05,-0.05,-0.1,-0.12,-0.09,-0.05,-0.04,-0.04,-0.07,-0.04,-0.03,-0.04,-0.03,-0.03,-0.01,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.01,0.02,-0.02,-0.05,-0.03,-0.03
T7s,1,3,0,8,5,3,suited,0,1,0,0,0,1,0,0,1,0,0,1,0.5066549500905715,0.0488390853689052,0.336091931940846,0.2834786276157662,0.0598402335099294,0.1047744868183793,0.1232777316284893,0.0392603059961749,0.0022102071406047,0.0022273899809046,-0.15,0.04,-0.04,-0.08,-0.16,-0.14,-0.19,-0.15,-0.28,-0.09,0.02,0.1,0.04,0.09,0.04,0.01,0.01,-0.17,-0.03,-0.05,-0.07,-0.12,-0.1,-0.13,-0.18,-0.2,-0.12,0.07,-0.06,0.07,-0.06,-0.03,-0.12,-0.07,0.02,0.01,-0.06,-0.09,-0.05,-0.04,0.08,-0.05,-0.03,-0.11,-0.06,0.02,-0.02,-0.09,-0.09,0.06,0.03,0.03,-0.01,0.06
T8o,0,2,0,8,6,2,offsuit,0,1,0,0,0,0,0,1,0,0,0,0,0.4971024460590318,0.054140340064857,0.3692091554753956,0.2981332751405059,0.0618967186570017,0.1414273299969179,0.0323847882124757,0.0401165531225322,0.0022487571610954,0.0004430821692183,-0.29,-0.03,-0.1,-0.19,-0.21,-0.26,-0.15,-0.28,-0.29,-0.04,0.01,0.01,-0.01,0.01,-0.01,-0.03,-0.04,-0.25,-0.06,-0.16,-0.15,-0.2,-0.24,-0.23,-0.26,-0.23,-0.11,-0.04,-0.06,-0.02,-0.12,-0.1,-0.09,-0.06,-0.04,-0.04,-0.1,-0.01,-0.04,-0.04,-0.04,0.0,0.0,-0.06,-0.06,-0.02,-0.03,-0.05,-0.04,-0.04,-0.06,-0.05,-0.03,-0.04
