hand,connectedness,suited,pair,flop_equity,turn_equity,river_equity,equity_delta,high_card,low_card,hand_type,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10,ev_pc1,ev_pc2
KJs,2,1,0,0.65449,0.63887,0.62516,-0.029329999999999967,11,9,suited,38.0,304.0,48.0,101.0,48.0,51.0,7.0,28.0,10.857142857142858,1.9803921568627447,5.96078431372549,2,-2.488649742385049,1.539291698428717,0.12,0.25,0.3,0.26,0.28,0.37,0.3,0.13,0.17,0.4,0.39,0.4,0.41,0.27,0.35,0.43,0.44,0.17,0.25,0.24,0.31,0.3,0.24,0.17,0.31,0.17,0.13,0.35,0.33,0.19,0.27,0.15,0.19,0.27,0.38,0.51,0.22,0.27,0.1,0.32,0.34,0.36,0.42,0.2,0.23,0.52,0.36,0.24,0.24,0.4,0.35,0.29,0.28,0.29,7.045953491051815,0.9382454840627208
KKo,0,0,1,0.93098,0.88236,0.82327,-0.10771000000000008,11,11,pair,22.0,176.0,25.0,101.0,25.0,77.0,0.0,0.0,176.0,1.3116883116883118,2.2857142857142856,1,-3.5628579854247344,-3.811172431210381,1.73,0.95,1.32,1.49,1.72,1.88,1.64,1.53,1.62,2.09,1.35,1.67,1.72,1.81,1.84,1.78,2.06,1.9,0.98,1.37,1.52,1.73,1.28,1.77,1.74,1.69,1.72,1.55,1.64,1.63,1.58,1.84,1.7,1.7,1.65,1.53,1.61,1.54,1.66,1.59,1.75,1.71,1.73,1.73,1.9,1.8,1.67,1.75,2.01,1.8,1.96,1.97,1.95,1.94,40.7267928531535,-1.8879798718718717
KQo,1,0,0,0.66241,0.63799,0.61425,-0.04816000000000009,11,10,offsuit,40.0,320.0,48.0,101.0,48.0,155.0,5.0,60.0,5.333333333333333,0.6516129032258065,2.064516129032258,0,-2.1961432424154785,2.0274287232702406,0.0,0.2,0.17,0.14,0.15,0.23,0.05,0.06,-0.01,0.17,0.36,0.33,0.27,0.25,0.28,0.21,0.22,0.03,0.17,0.2,0.23,0.16,0.11,0.08,0.07,0.06,0.06,0.26,0.21,0.11,0.16,0.06,0.16,0.15,0.25,0.2,0.18,0.1,0.11,0.08,0.26,0.07,0.13,0.15,0.09,0.25,0.13,0.13,0.13,0.16,0.13,0.14,0.2,0.15,3.827604033790419,1.3868210147711548
KQs,1,1,0,0.6671,0.64863,0.63247,-0.03463000000000005,11,10,suited,40.0,320.0,48.0,101.0,48.0,51.0,5.0,20.0,16.0,1.9803921568627447,6.2745098039215685,2,-2.760521067213052,1.7071694120733314,0.17,0.37,0.35,0.32,0.3,0.18,0.07,0.29,0.37,0.42,0.5,0.59,0.52,0.3,0.58,0.46,0.68,0.36,0.3,0.36,0.28,0.32,0.67,0.4,0.41,0.35,0.4,0.41,0.44,0.62,0.3,0.38,0.42,0.31,0.45,0.53,0.12,0.31,0.38,0.36,0.36,0.26,0.28,0.44,0.31,0.32,0.37,0.38,0.42,0.4,0.41,0.45,0.42,0.4,9.29115355349197,0.7294305801168954
KTo,3,0,0,0.63936,0.61712,0.59512,-0.04424000000000006,11,8,offsuit,36.0,288.0,48.0,101.0,48.0,155.0,9.0,108.0,2.6666666666666665,0.6516129032258065,1.8580645161290323,0,-1.5341229840668047,1.7067817985094411,-0.16,0.14,0.06,0.06,-0.03,-0.01,-0.05,-0.22,-0.1,0.07,0.2,0.14,0.13,0.15,0.02,0.01,0.04,-0.2,0.1,0.05,-0.01,-0.01,0.11,-0.03,-0.09,-0.07,-0.07,0.11,0.06,0.06,0.0,-0.08,-0.06,-0.09,0.06,0.07,-0.03,-0.04,0.01,-0.06,0.03,-0.03,-0.02,-0.02,-0.06,0.09,0.04,-0.06,-0.06,-0.01,-0.03,-0.04,0.0,0.0,0.0835138039529227,1.5492454143086598
KTs,3,1,0,0.64651,0.63027,0.61745,-0.029059999999999975,11,8,suited,36.0,288.0,48.0,101.0,48.0,51.0,9.0,36.0,8.0,1.9803921568627447,5.647058823529412,2,-2.216778417557047,1.3714139847841025,0.03,0.28,0.2,0.21,0.2,0.35,0.2,0.19,0.01,0.31,0.36,0.39,0.28,0.38,0.16,0.29,0.15,0.15,0.25,0.21,0.17,0.22,0.19,0.09,0.07,0.08,0.11,0.29,0.29,0.2,0.05,0.24,0.1,0.19,0.22,0.02,-0.05,0.22,0.06,0.15,0.25,0.17,0.23,0.37,0.1,0.27,0.21,0.1,0.27,0.23,0.14,0.06,0.28,0.09,4.670228203866426,1.5820419966376136
Q2o,10,0,0,0.50314,0.49098,0.47497,-0.02817000000000003,10,0,offsuit,18.0,144.0,48.0,101.0,48.0,155.0,27.0,324.0,0.4444444444444444,0.6516129032258065,0.9290322580645162,0,1.4449681785022268,0.2638706370858424,-0.4,-0.11,-0.22,-0.27,-0.33,-0.35,-0.37,-0.33,-0.38,-0.04,-0.06,-0.05,-0.05,-0.02,-0.04,-0.03,-0.03,-0.3,-0.23,-0.24,-0.25,-0.26,-0.29,-0.3,-0.25,-0.28,-0.11,-0.07,-0.07,-0.06,-0.09,-0.1,-0.1,-0.05,-0.05,-0.05,-0.04,-0.05,-0.06,-0.04,-0.07,-0.04,-0.05,-0.04,-0.05,-0.05,0.0,-0.03,-0.05,-0.05,-0.03,-0.04,-0.02,-0.04,-3.0833621698823133,-1.1868104980581182
Q2s,10,1,0,0.50534,0.50428,0.50261,-0.00273000000000001,10,0,suited,18.0,144.0,48.0,101.0,48.0,51.0,27.0,108.0,1.3333333333333333,1.9803921568627447,2.823529411764706,2,0.2300635058949732,-0.1394854380174287,-0.24,-0.01,-0.09,-0.15,-0.22,-0.15,-0.22,-0.27,-0.13,-0.08,-0.07,-0.06,-0.08,-0.11,-0.1,0.01,-0.07,-0.29,-0.16,-0.18,-0.15,-0.17,-0.17,-0.12,-0.17,-0.23,-0.11,-0.08,-0.12,-0.15,-0.13,-0.08,-0.12,-0.1,-0.06,-0.24,0.0,-0.1,-0.13,-0.11,-0.06,0.03,-0.12,-0.08,-0.1,-0.03,-0.04,-0.06,-0.05,-0.25,-0.05,-0.11,-0.06,-0.1,-2.813492243166919,0.0825935287501002
Q3o,9,0,0,0.51219,0.49549,0.48395,-0.028240000000000043,10,1,offsuit,20.0,160.0,48.0,101.0,48.0,155.0,25.0,300.0,0.5333333333333333,0.6516129032258065,1.032258064516129,0,1.11395804932789,0.4241940994662423,-0.34,-0.11,-0.23,-0.28,-0.3,-0.34,-0.32,-0.34,-0.33,-0.04,-0.04,-0.03,-0.05,-0.07,-0.03,-0.04,-0.04,-0.27,-0.19,-0.23,-0.23,-0.28,-0.16,-0.26,-0.28,-0.29,-0.12,-0.06,-0.07,-0.12,-0.11,-0.09,-0.1,-0.03,-0.04,-0.07,-0.09,-0.05,-0.05,-0.05,-0.06,-0.04,-0.04,-0.04,-0.03,-0.06,-0.04,-0.04,-0.05,-0.03,-0.03,-0.05,-0.04,-0.04,-2.997938096928998,-1.0242118904751574
Q3s,9,1,0,0.51566,0.50961,0.50935,-0.006310000000000038,10,1,suited,20.0,160.0,48.0,101.0,48.0,51.0,25.0,100.0,1.6,1.9803921568627447,3.1372549019607843,2,-0.0418078189330289,0.0283922756271858,-0.33,0.0,-0.12,-0.18,-0.17,-0.24,-0.03,-0.22,-0.23,0.01,-0.01,-0.02,-0.03,-0.06,-0.02,-0.08,-0.01,-0.27,-0.1,-0.08,-0.18,-0.17,-0.19,-0.24,-0.26,-0.24,-0.01,0.01,-0.11,0.13,-0.1,-0.13,-0.17,-0.12,-0.07,0.01,-0.11,-0.12,-0.09,-0.08,-0.08,-0.13,-0.05,-0.12,-0.01,0.02,-0.14,-0.08,-0.07,-0.04,-0.07,-0.13,-0.05,-0.13,-2.443517638863389,0.2534486227418574
Q4o,8,0,0,0.52374,0.50282,0.48924,-0.034499999999999975,10,2,offsuit,22.0,176.0,48.0,101.0,48.0,155.0,23.0,276.0,0.6376811594202898,0.6516129032258065,1.135483870967742,0,0.7829479201535532,0.584517561846642,-0.39,-0.1,-0.22,-0.27,-0.32,-0.33,-0.26,-0.33,-0.35,-0.05,-0.03,-0.05,-0.06,-0.07,-0.06,-0.05,-0.04,-0.27,-0.2,-0.24,-0.24,-0.23,-0.28,-0.3,-0.28,-0.32,-0.08,-0.06,-0.07,-0.06,-0.11,-0.1,-0.09,-0.05,-0.05,-0.07,-0.05,-0.07,-0.05,-0.03,-0.09,-0.06,-0.06,-0.04,-0.04,-0.01,-0.04,-0.05,-0.04,-0.01,-0.04,-0.04,-0.06,-0.03,-3.0465168275640964,-1.0228091110905322
Q4s,8,1,0,0.52681,0.51768,0.51868,-0.00812999999999997,10,2,suited,22.0,176.0,48.0,101.0,48.0,51.0,23.0,92.0,1.9130434782608696,1.9803921568627447,3.450980392156863,2,-0.3136791437610311,0.1962699892718004,-0.25,-0.03,-0.08,-0.08,-0.17,-0.33,-0.19,-0.22,-0.27,-0.06,-0.02,-0.08,-0.02,-0.11,0.04,-0.06,-0.08,-0.19,-0.04,-0.1,-0.08,-0.19,-0.15,-0.04,-0.16,-0.25,-0.09,-0.09,-0.1,-0.08,-0.12,-0.1,-0.19,-0.11,-0.06,-0.03,-0.07,-0.09,-0.12,-0.1,0.0,-0.15,-0.03,-0.1,-0.12,-0.08,-0.1,-0.06,-0.07,-0.07,-0.01,-0.01,-0.11,-0.05,-2.4569104182300694,0.3609255807974272
Q5o,7,0,0,0.5301,0.51122,0.4978,-0.032299999999999995,10,3,offsuit,24.0,192.0,48.0,101.0,48.0,155.0,21.0,252.0,0.7619047619047619,0.6516129032258065,1.238709677419355,0,0.4519377909792164,0.744841024227042,-0.39,-0.09,-0.21,-0.22,-0.29,-0.18,-0.3,-0.34,-0.34,-0.05,-0.04,-0.03,-0.06,-0.07,-0.06,-0.04,-0.04,-0.31,-0.18,-0.21,-0.24,-0.25,-0.24,-0.3,-0.29,-0.29,-0.1,-0.06,-0.09,-0.08,-0.11,-0.09,-0.09,-0.07,-0.05,-0.07,-0.05,-0.06,-0.04,-0.04,-0.05,-0.02,-0.06,-0.06,-0.05,-0.04,-0.05,-0.04,-0.03,-0.04,-0.05,-0.05,-0.03,-0.04,-2.952626753476714,-0.8132069553508082
Q5s,7,1,0,0.53854,0.53317,0.53095,-0.007589999999999986,10,3,suited,24.0,192.0,48.0,101.0,48.0,51.0,21.0,84.0,2.2857142857142856,1.9803921568627447,3.764705882352941,2,-0.5855504685890335,0.3641477029164149,-0.15,0.04,-0.06,-0.19,-0.19,-0.42,-0.17,-0.25,-0.23,-0.09,-0.02,-0.03,-0.02,-0.02,0.0,0.0,-0.04,-0.21,0.0,-0.07,-0.12,-0.16,-0.11,-0.07,-0.25,-0.2,-0.02,-0.02,-0.08,-0.05,-0.01,-0.12,-0.11,-0.03,-0.02,0.03,0.11,-0.11,-0.08,-0.09,-0.05,-0.08,-0.15,-0.08,-0.05,-0.05,-0.07,-0.07,-0.06,-0.02,-0.07,-0.12,-0.06,-0.06,-2.016900563346467,0.378960396701641
Q6o,6,0,0,0.53887,0.51936,0.50643,-0.03243999999999991,10,4,offsuit,26.0,208.0,48.0,101.0,48.0,155.0,19.0,228.0,0.912280701754386,0.6516129032258065,1.3419354838709678,0,0.1209276618048795,0.9051644866074418,-0.38,-0.07,-0.18,-0.23,-0.28,-0.29,-0.32,-0.34,-0.35,-0.06,-0.03,-0.04,-0.05,0.04,-0.03,-0.04,-0.05,-0.28,-0.13,-0.22,-0.21,-0.26,-0.26,-0.27,-0.29,-0.29,-0.11,-0.07,-0.07,-0.08,-0.03,-0.12,-0.08,-0.06,-0.05,-0.12,-0.08,-0.06,-0.06,-0.06,-0.04,-0.07,-0.05,-0.05,-0.06,-0.08,-0.06,-0.07,-0.05,-0.06,-0.04,-0.05,-0.04,-0.04,-2.959729054204416,-0.6115459062504842
Q6s,6,1,0,0.55131,0.5456,0.53941,-0.011900000000000022,10,4,suited,26.0,208.0,48.0,101.0,48.0,51.0,19.0,76.0,2.736842105263158,1.9803921568627447,4.078431372549019,2,-0.8574217934170356,0.5320254165610296,-0.15,0.0,-0.08,-0.07,-0.13,-0.05,-0.29,-0.17,-0.2,-0.03,0.07,0.01,-0.02,-0.03,-0.11,-0.07,0.07,-0.2,-0.02,-0.08,-0.13,-0.17,-0.11,-0.03,-0.18,-0.23,-0.16,0.0,-0.08,0.03,-0.1,-0.08,-0.09,-0.09,-0.05,0.0,-0.08,-0.05,-0.07,-0.05,-0.03,-0.03,-0.1,-0.17,-0.13,0.18,0.0,-0.02,-0.03,-0.09,-0.09,-0.07,-0.05,-0.03,-1.7424424777103755,0.5867749859968505
Q7o,5,0,0,0.55387,0.53453,0.51941,-0.034459999999999935,10,5,offsuit,28.0,224.0,48.0,101.0,48.0,155.0,17.0,204.0,1.0980392156862746,0.6516129032258065,1.4451612903225806,0,-0.2100824673694573,1.0654879489878415,-0.34,-0.05,-0.17,-0.18,-0.29,-0.32,-0.33,-0.3,-0.37,-0.05,-0.04,-0.03,-0.06,-0.06,-0.03,-0.03,-0.03,-0.29,-0.12,-0.16,-0.2,-0.24,-0.23,-0.23,-0.26,-0.29,-0.11,-0.07,-0.09,-0.12,-0.1,-0.07,-0.09,-0.07,-0.07,-0.01,-0.06,-0.06,-0.05,-0.06,-0.06,-0.03,-0.08,-0.03,-0.07,-0.03,-0.06,-0.05,-0.05,-0.05,-0.07,-0.06,-0.05,-0.07,-2.855354573871597,-0.4954978422230101
Q7s,5,1,0,0.55512,0.54842,0.54071,-0.014409999999999923,10,5,suited,28.0,224.0,48.0,101.0,48.0,51.0,17.0,68.0,3.294117647058824,1.9803921568627447,4.392156862745098,2,-1.129293118245038,0.6999031302056442,-0.17,0.03,-0.01,-0.08,-0.11,-0.1,-0.17,-0.17,-0.17,0.04,0.05,0.1,-0.02,0.08,0.08,0.0,-0.05,-0.2,0.0,-0.11,-0.05,-0.12,-0.2,-0.16,-0.22,-0.2,-0.04,0.0,0.0,-0.13,-0.11,-0.09,-0.09,-0.12,0.0,-0.18,0.01,-0.11,-0.12,-0.1,0.19,-0.02,-0.07,-0.16,-0.08,0.06,-0.05,-0.13,-0.04,-0.11,-0.04,-0.03,-0.09,-0.06,-1.6111969165557798,0.8455541062055175
Q8o,4,0,0,0.56248,0.54974,0.53471,-0.02776999999999996,10,6,offsuit,30.0,240.0,48.0,101.0,48.0,155.0,15.0,180.0,1.3333333333333333,0.6516129032258065,1.5483870967741935,0,-0.541092596543794,1.2258114113682417,-0.3,-0.04,-0.14,-0.16,-0.23,-0.26,-0.24,-0.29,-0.32,-0.07,0.01,-0.01,-0.05,-0.03,-0.06,-0.05,-0.04,-0.28,-0.08,-0.12,-0.18,-0.19,-0.24,-0.26,-0.24,-0.28,-0.11,-0.05,-0.08,-0.09,-0.11,-0.12,-0.09,-0.1,-0.08,-0.02,-0.08,-0.05,-0.06,-0.08,-0.04,-0.04,-0.08,-0.07,-0.09,-0.09,-0.07,-0.05,-0.03,-0.08,-0.05,-0.07,-0.07,-0.05,-2.709326870602077,-0.0518276389876666
Q8s,4,1,0,0.56709,0.56538,0.55971,-0.007379999999999942,10,6,suited,30.0,240.0,48.0,101.0,48.0,51.0,15.0,60.0,4.0,1.9803921568627447,4.705882352941177,2,-1.40116444307304,0.8677808438502587,-0.18,0.11,0.02,0.01,-0.1,0.09,-0.11,-0.11,-0.16,0.02,0.14,0.08,0.02,0.22,0.01,-0.14,0.06,-0.1,0.04,-0.01,-0.03,-0.09,-0.17,-0.19,-0.15,-0.1,-0.07,0.11,0.03,0.02,0.14,-0.09,-0.03,-0.07,-0.02,0.04,-0.03,-0.02,-0.03,-0.12,0.04,0.22,0.01,0.04,0.02,0.03,-0.03,-0.02,0.02,-0.06,-0.08,-0.06,0.01,-0.07,-0.3390470375383055,1.0250046665539112
Q9o,3,0,0,0.57667,0.56786,0.55534,-0.02133000000000007,10,7,offsuit,32.0,256.0,48.0,101.0,48.0,155.0,13.0,156.0,1.641025641025641,0.6516129032258065,1.6516129032258065,0,-0.8721027257181307,1.3861348737486412,-0.22,0.02,-0.03,-0.14,-0.18,-0.24,-0.11,-0.24,-0.21,-0.07,0.04,0.07,-0.04,0.1,-0.06,-0.07,-0.03,-0.25,-0.02,-0.09,-0.06,-0.15,-0.22,-0.2,-0.22,-0.2,-0.11,-0.01,-0.06,-0.1,-0.06,-0.1,-0.13,-0.11,-0.03,-0.1,-0.08,-0.02,-0.06,-0.05,-0.02,-0.08,-0.04,-0.09,-0.09,-0.04,-0.04,-0.09,-0.08,-0.06,-0.09,-0.05,-0.07,-0.05,-2.070924986102441,0.6123778149015006
Q9s,3,1,0,0.57779,0.57935,0.57802,0.00022999999999995246,10,7,suited,32.0,256.0,48.0,101.0,48.0,51.0,13.0,52.0,4.923076923076923,1.9803921568627447,5.019607843137255,2,-1.673035767901042,1.0356585574948731,-0.13,0.16,0.07,0.04,0.01,-0.15,-0.03,-0.01,-0.14,0.0,0.18,0.21,0.19,0.12,0.17,0.23,0.08,-0.07,0.03,0.01,0.04,0.06,0.04,0.06,0.08,-0.02,-0.04,0.2,0.12,0.29,0.09,-0.02,0.04,0.11,0.11,0.07,0.24,-0.06,0.07,0.07,0.05,0.02,0.0,0.05,0.06,0.31,0.08,0.05,-0.07,0.09,-0.01,-0.01,-0.04,0.01,1.4692912882285205,0.9293391403441082
QJo,1,0,0,0.59413,0.5878,0.58026,-0.013870000000000049,10,9,offsuit,36.0,288.0,48.0,101.0,48.0,155.0,9.0,108.0,2.6666666666666665,0.6516129032258065,1.8580645161290323,0,-1.5341229840668047,1.7067817985094411,-0.11,0.11,0.11,0.05,0.03,0.0,-0.16,-0.07,-0.13,0.02,0.25,0.19,0.17,0.24,0.08,0.02,0.03,-0.1,0.16,0.07,0.03,-0.01,-0.14,-0.11,-0.1,-0.12,-0.1,0.12,0.11,-0.03,0.0,-0.02,-0.02,-0.08,0.14,0.01,0.06,0.06,-0.07,-0.01,0.05,0.06,0.03,-0.01,-0.1,0.01,0.12,-0.03,0.03,0.18,-0.02,-0.03,0.04,0.02,0.5430656047910742,1.5503232887643852
QJs,1,1,0,0.60251,0.60367,0.60536,0.002850000000000019,10,9,suited,36.0,288.0,48.0,101.0,48.0,51.0,9.0,36.0,8.0,1.9803921568627447,5.647058823529412,2,-2.216778417557047,1.3714139847841025,0.07,0.24,0.29,0.16,0.15,0.29,0.14,0.16,0.06,0.23,0.3,0.31,0.35,0.52,0.41,0.11,0.39,0.17,0.16,0.25,0.22,0.31,0.22,-0.04,0.12,0.06,0.15,0.31,0.27,0.15,0.45,0.2,0.25,0.11,0.34,0.39,0.26,0.18,0.13,0.16,0.3,0.26,0.3,0.2,0.3,0.35,0.29,0.21,0.13,0.25,0.25,0.2,0.21,0.34,5.703339537460105,0.9213174745843212
QQo,0,0,1,0.90621,0.85655,0.79942,-0.10678999999999994,10,10,pair,20.0,160.0,25.0,101.0,25.0,77.0,0.0,0.0,160.0,1.3116883116883118,2.0779220779220777,1,-3.413408920010814,-3.985883006310436,1.22,0.85,1.05,1.14,1.3,0.88,1.04,1.16,1.14,1.36,1.2,1.24,1.46,1.39,1.41,1.33,1.36,1.18,0.88,1.04,1.2,1.31,1.23,1.34,1.13,0.99,1.28,1.18,1.27,1.26,1.21,1.09,1.27,1.21,1.32,0.89,1.12,1.16,1.13,1.21,1.07,1.27,1.32,1.2,1.22,1.5,1.19,1.24,1.24,1.51,1.33,1.22,1.26,1.49,29.49660367690465,0.1731175991864595
QTo,2,0,0,0.58502,0.58053,0.57529,-0.009730000000000016,10,8,offsuit,34.0,272.0,48.0,101.0,48.0,155.0,11.0,132.0,2.060606060606061,0.6516129032258065,1.7548387096774194,0,-1.2031128548924677,1.5464583361290414,-0.16,0.09,0.03,-0.01,-0.04,-0.08,-0.08,-0.09,-0.14,0.01,0.15,0.14,0.06,0.02,0.11,0.01,0.03,-0.16,0.07,-0.01,-0.04,-0.04,-0.01,-0.14,-0.15,-0.14,-0.1,0.09,0.03,-0.04,-0.09,-0.06,-0.12,-0.07,0.07,-0.02,-0.09,-0.08,-0.06,-0.05,0.09,-0.09,-0.04,-0.05,-0.08,0.01,0.02,-0.1,-0.12,-0.03,-0.03,-0.03,0.02,-0.03,-0.6900161517090657,1.3664442944225716
QTs,2,1,0,0.58964,0.59259,0.59178,0.0021399999999999197,10,8,suited,34.0,272.0,48.0,101.0,48.0,51.0,11.0,44.0,6.181818181818182,1.9803921568627447,5.333333333333333,2,-1.9449070927290444,1.203536271139488,-0.03,0.2,0.13,0.15,0.16,0.27,0.11,-0.03,0.09,0.07,0.33,0.35,0.3,0.23,0.13,0.31,0.26,0.02,0.19,0.17,0.12,0.11,0.16,-0.09,0.01,0.18,0.04,0.28,0.25,0.4,0.32,0.11,0.1,0.12,0.27,0.27,0.23,0.09,0.24,0.11,0.16,0.18,0.12,0.06,0.02,0.08,0.21,0.11,0.15,0.26,0.29,0.15,0.17,0.12,4.035760610101614,1.222538782175207
T2o,8,0,0,0.40282,0.41227,0.41822,0.01539999999999997,8,0,offsuit,14.0,112.0,48.0,101.0,48.0,155.0,31.0,372.0,0.3010752688172043,0.6516129032258065,0.7225806451612903,0,2.1069884368509,-0.0567762876749573,-0.42,-0.15,-0.25,-0.3,-0.35,-0.33,-0.35,-0.37,-0.37,-0.01,-0.02,-0.03,-0.02,-0.06,-0.02,-0.02,-0.01,-0.28,-0.23,-0.26,-0.25,-0.25,-0.28,-0.26,-0.29,-0.28,-0.1,-0.03,-0.04,-0.09,-0.08,-0.06,-0.08,-0.01,-0.03,-0.04,-0.02,-0.02,-0.03,-0.02,-0.03,0.01,-0.02,-0.02,-0.02,0.01,-0.02,-0.02,-0.02,0.0,-0.02,-0.02,-0.02,-0.01,-2.7815558322713696,-1.504335279970154
T2s,8,1,0,0.40745,0.43124,0.44778,0.04033000000000003,8,0,suited,14.0,112.0,48.0,101.0,48.0,51.0,31.0,124.0,0.9032258064516128,1.9803921568627447,2.196078431372549,2,0.7738061555509776,-0.4752408653066579,-0.31,-0.08,-0.16,-0.22,-0.26,-0.29,-0.29,-0.32,-0.36,-0.1,-0.12,-0.06,-0.07,-0.08,-0.06,-0.08,-0.08,-0.29,-0.17,-0.2,-0.21,-0.24,0.04,-0.3,-0.31,-0.28,-0.11,-0.06,-0.11,-0.13,-0.14,-0.1,-0.11,-0.1,-0.11,-0.19,-0.1,-0.05,-0.11,-0.08,-0.04,-0.06,-0.06,0.02,-0.07,-0.05,-0.07,-0.04,-0.07,-0.06,-0.05,-0.1,-0.01,-0.06,-3.1733337311877734,-0.5804795043069714
T3o,7,0,0,0.40784,0.41475,0.42209,0.01425000000000004,8,1,offsuit,16.0,128.0,48.0,101.0,48.0,155.0,29.0,348.0,0.367816091954023,0.6516129032258065,0.8258064516129032,0,1.7759783076765638,0.1035471747054425,-0.41,-0.14,-0.21,-0.29,-0.34,-0.39,-0.38,-0.36,-0.41,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.28,-0.25,-0.26,-0.26,-0.26,-0.3,-0.29,-0.25,-0.26,-0.09,-0.03,-0.05,-0.09,-0.08,-0.08,-0.07,-0.03,-0.02,-0.04,-0.04,-0.02,-0.02,-0.03,-0.02,-0.02,-0.03,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.03,-0.02,-2.8436895660091586,-1.4707667790329548
T3s,7,1,0,0.41869,0.43709,0.45802,0.039329999999999976,8,1,suited,16.0,128.0,48.0,101.0,48.0,51.0,29.0,116.0,1.103448275862069,1.9803921568627447,2.5098039215686274,2,0.5019348307229754,-0.3073631516620433,-0.3,-0.09,-0.19,-0.25,-0.23,-0.37,-0.09,-0.3,-0.33,-0.11,-0.07,-0.05,-0.06,-0.1,0.04,-0.02,-0.06,-0.23,-0.16,-0.21,-0.23,-0.23,-0.24,-0.24,-0.26,-0.25,-0.11,-0.08,-0.09,-0.19,-0.12,-0.1,-0.13,-0.07,-0.08,-0.22,-0.08,-0.07,-0.08,-0.04,-0.07,0.15,-0.12,-0.09,-0.04,-0.13,-0.07,-0.13,-0.03,-0.07,-0.08,-0.05,-0.04,-0.04,-3.0845419629312216,-0.6550755359186796
T4o,6,0,0,0.42026,0.42634,0.4356,0.015339999999999965,8,2,offsuit,18.0,144.0,48.0,101.0,48.0,155.0,27.0,324.0,0.4444444444444444,0.6516129032258065,0.9290322580645162,0,1.4449681785022268,0.2638706370858424,-0.41,-0.13,-0.25,-0.3,-0.35,-0.33,-0.36,-0.37,-0.37,-0.01,-0.02,-0.02,-0.02,-0.04,-0.04,-0.02,-0.03,-0.27,-0.23,-0.24,-0.25,-0.25,-0.24,-0.29,-0.28,-0.27,-0.09,-0.03,-0.05,-0.1,-0.1,-0.08,-0.09,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.01,-0.02,-0.03,-0.03,0.0,0.0,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-2.786447728713814,-1.4198186081207194
T4s,6,1,0,0.43042,0.44766,0.46705,0.036629999999999996,8,2,suited,18.0,144.0,48.0,101.0,48.0,51.0,27.0,108.0,1.3333333333333333,1.9803921568627447,2.823529411764706,2,0.2300635058949732,-0.1394854380174287,-0.33,-0.07,-0.2,-0.18,-0.24,-0.24,-0.31,-0.22,-0.2,-0.06,-0.07,-0.03,-0.08,-0.07,0.04,-0.07,-0.09,-0.26,-0.16,-0.14,-0.25,-0.22,-0.25,-0.16,-0.23,-0.19,-0.12,-0.06,-0.07,-0.06,0.13,-0.14,-0.07,-0.09,-0.06,-0.08,-0.12,-0.11,-0.11,-0.08,-0.11,-0.09,-0.08,-0.12,-0.07,-0.11,-0.07,-0.07,-0.11,-0.07,-0.08,-0.13,-0.07,-0.05,-2.9087519754917754,-0.2384456186149947
T5o,5,0,0,0.43105,0.4332,0.43896,0.007910000000000028,8,3,offsuit,20.0,160.0,48.0,101.0,48.0,155.0,25.0,300.0,0.5333333333333333,0.6516129032258065,1.032258064516129,0,1.11395804932789,0.4241940994662423,-0.39,-0.11,-0.24,-0.3,-0.33,-0.38,-0.36,-0.35,-0.38,-0.02,-0.03,-0.02,-0.02,-0.02,-0.03,-0.03,-0.02,-0.29,-0.2,-0.23,-0.24,-0.24,-0.28,-0.26,-0.27,-0.29,-0.09,-0.04,-0.04,-0.1,-0.08,-0.08,-0.08,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03,-0.02,-0.02,-2.8180811508048778,-1.2599458246544022
