hand,connectedness,suited,pair,flop_equity,turn_equity,river_equity,equity_delta,high_card,low_card,hand_type,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10,ev_pc1,ev_pc2
JJo,0,0,1,0.88149,0.83234,0.77359,-0.1079,9,9,pair,18.0,144.0,25.0,101.0,25.0,77.0,0.0,0.0,144.0,1.3116883116883118,1.87012987012987,1,-3.263959854596894,-4.16059358141049,0.63,0.73,0.86,0.87,0.9,0.9,0.55,0.79,0.65,0.89,1.0,1.04,1.03,1.03,1.14,0.74,0.91,0.67,0.68,0.87,0.89,0.9,0.77,0.54,0.78,0.67,0.83,0.92,0.96,0.69,0.72,0.78,0.72,0.66,0.96,0.83,0.89,0.89,0.76,0.86,0.94,1.08,0.75,0.87,0.76,0.96,0.94,0.8,0.91,0.93,0.81,1.01,0.97,1.01,20.62512056511156,1.3661448635956348
JTo,1,0,0,0.52972,0.54217,0.55328,0.023560000000000025,9,8,offsuit,32.0,256.0,48.0,101.0,48.0,155.0,13.0,156.0,1.641025641025641,0.6516129032258065,1.6516129032258065,0,-0.8721027257181307,1.3861348737486412,-0.19,0.09,0.02,-0.04,-0.08,-0.12,-0.19,-0.2,-0.15,-0.01,0.15,0.14,0.08,0.13,0.06,0.03,0.03,-0.2,0.07,-0.01,-0.02,-0.07,-0.11,-0.07,-0.11,-0.12,-0.12,0.1,-0.03,-0.08,0.03,-0.08,-0.1,-0.11,0.06,0.05,-0.06,-0.05,-0.06,-0.02,0.03,0.01,-0.06,-0.08,-0.07,0.04,0.01,-0.07,-0.02,-0.05,-0.04,0.0,-0.04,-0.03,-0.7183332813278216,1.173079552051688
JTs,1,1,0,0.53787,0.55529,0.57284,0.03497000000000006,9,8,suited,32.0,256.0,48.0,101.0,48.0,51.0,13.0,52.0,4.923076923076923,1.9803921568627447,5.019607843137255,2,-1.673035767901042,1.0356585574948731,0.01,0.15,0.18,0.14,0.12,-0.03,0.2,0.0,0.04,0.15,0.32,0.25,0.25,0.17,0.31,0.25,0.21,0.07,0.18,0.15,0.07,0.13,0.03,0.22,0.07,-0.05,-0.04,0.21,0.21,0.13,0.29,0.03,0.13,0.09,0.31,0.13,0.21,0.15,0.03,0.01,0.1,0.2,0.07,0.16,0.14,0.12,0.23,0.19,0.17,0.17,0.14,0.12,0.45,0.2,3.61708836215512,0.9537556075126826
K2o,11,0,0,0.55615,0.53217,0.50533,-0.05082000000000009,11,0,offsuit,20.0,160.0,48.0,101.0,48.0,155.0,25.0,300.0,0.5333333333333333,0.6516129032258065,1.032258064516129,0,1.11395804932789,0.4241940994662423,-0.37,-0.09,-0.2,-0.26,-0.3,-0.26,-0.27,-0.32,-0.35,-0.06,-0.06,-0.07,-0.07,-0.03,-0.06,-0.06,-0.05,-0.26,-0.19,-0.22,-0.25,-0.26,-0.29,-0.28,-0.3,-0.29,-0.11,-0.08,-0.11,-0.12,-0.07,-0.12,-0.1,-0.06,-0.08,-0.12,-0.07,-0.07,-0.07,-0.06,-0.12,-0.07,-0.05,-0.07,-0.07,-0.09,-0.07,-0.06,-0.07,-0.04,-0.06,-0.05,-0.06,-0.05,-3.2797855785066568,-0.7827858497786285
K2s,11,1,0,0.56502,0.54834,0.53187,-0.03315000000000001,11,0,suited,20.0,160.0,48.0,101.0,48.0,51.0,25.0,100.0,1.6,1.9803921568627447,3.1372549019607843,2,-0.0418078189330289,0.0283922756271858,-0.22,0.01,-0.12,-0.13,-0.11,-0.22,-0.04,-0.33,-0.22,-0.12,0.05,0.0,0.04,-0.05,-0.05,-0.11,-0.02,-0.15,-0.05,-0.14,-0.08,-0.17,-0.21,-0.12,-0.17,-0.17,-0.16,-0.06,-0.03,-0.11,-0.19,-0.12,-0.03,-0.03,-0.05,-0.05,-0.12,-0.12,-0.14,-0.07,-0.11,-0.12,-0.02,0.01,-0.09,-0.12,0.0,-0.09,-0.09,0.02,-0.13,-0.05,-0.09,0.0,-2.248252340066927,0.4225171960217578
K3o,10,0,0,0.56735,0.53791,0.51297,-0.054379999999999984,11,1,offsuit,22.0,176.0,48.0,101.0,48.0,155.0,23.0,276.0,0.6376811594202898,0.6516129032258065,1.135483870967742,0,0.7829479201535533,0.584517561846642,-0.38,-0.07,-0.19,-0.26,-0.29,-0.27,-0.32,-0.35,-0.33,-0.05,-0.04,-0.05,-0.05,-0.08,-0.04,-0.03,-0.03,-0.27,-0.16,-0.21,-0.25,-0.26,-0.3,-0.26,-0.25,-0.29,-0.13,-0.07,-0.1,-0.12,-0.11,-0.12,-0.09,-0.06,-0.1,-0.07,-0.07,-0.03,-0.07,-0.07,-0.01,-0.04,-0.08,-0.07,-0.07,-0.09,-0.05,-0.07,-0.08,-0.08,-0.03,-0.06,-0.05,-0.06,-3.152850490759406,-0.6995323044708001
K3s,10,1,0,0.57529,0.55532,0.53956,-0.03572999999999993,11,1,suited,22.0,176.0,48.0,101.0,48.0,51.0,23.0,92.0,1.9130434782608696,1.9803921568627447,3.450980392156863,2,-0.3136791437610311,0.1962699892718004,-0.12,0.02,-0.02,-0.11,-0.13,-0.26,-0.1,-0.23,-0.25,-0.05,0.1,-0.01,-0.05,-0.06,-0.08,-0.09,-0.04,-0.12,-0.05,-0.08,-0.13,-0.17,-0.14,-0.11,-0.06,-0.16,-0.1,-0.04,-0.05,-0.17,-0.12,-0.1,-0.13,-0.12,-0.04,-0.18,-0.01,-0.07,-0.02,-0.1,-0.18,-0.02,-0.13,-0.05,-0.03,-0.07,-0.09,-0.1,-0.09,-0.04,-0.04,-0.01,-0.03,-0.08,-2.091954039460037,0.589160266279596
K4o,9,0,0,0.57872,0.54843,0.52271,-0.056010000000000004,11,2,offsuit,24.0,192.0,48.0,101.0,48.0,155.0,21.0,252.0,0.7619047619047619,0.6516129032258065,1.238709677419355,0,0.4519377909792164,0.744841024227042,-0.37,-0.04,-0.18,-0.21,-0.28,-0.24,-0.32,-0.3,-0.32,0.01,-0.06,-0.06,-0.05,0.06,-0.06,-0.06,-0.06,-0.3,-0.18,-0.19,-0.22,-0.25,-0.26,-0.28,-0.27,-0.29,-0.11,-0.06,-0.1,-0.2,-0.1,-0.14,-0.12,-0.08,-0.06,-0.09,-0.08,-0.07,-0.07,-0.07,-0.04,-0.05,-0.08,-0.05,-0.06,-0.07,-0.07,-0.08,-0.08,-0.05,-0.07,-0.07,-0.05,-0.06,-3.1097042032518405,-0.508701778382559
K4s,9,1,0,0.58041,0.55919,0.5463,-0.034109999999999974,11,2,suited,24.0,192.0,48.0,101.0,48.0,51.0,21.0,84.0,2.2857142857142856,1.9803921568627447,3.764705882352941,2,-0.5855504685890335,0.3641477029164149,-0.07,0.05,0.0,-0.1,-0.11,0.16,-0.05,0.09,-0.2,-0.09,0.15,-0.01,0.01,0.11,-0.15,0.1,-0.06,-0.16,-0.01,-0.04,-0.08,-0.12,-0.19,-0.21,-0.22,-0.18,-0.09,0.04,-0.04,-0.14,-0.15,-0.1,-0.02,-0.09,-0.03,-0.17,-0.03,-0.01,-0.03,0.03,0.0,-0.04,-0.08,-0.12,-0.04,0.06,-0.02,-0.05,-0.07,-0.01,-0.02,-0.06,-0.03,-0.03,-1.204442685480215,0.9659319681393882
K5o,8,0,0,0.59365,0.56019,0.53648,-0.057170000000000054,11,3,offsuit,26.0,208.0,48.0,101.0,48.0,155.0,19.0,228.0,0.912280701754386,0.6516129032258065,1.3419354838709678,0,0.1209276618048795,0.9051644866074418,-0.34,-0.04,-0.17,-0.23,-0.26,-0.34,-0.28,-0.28,-0.32,-0.03,-0.03,-0.07,-0.07,-0.05,-0.03,-0.03,-0.05,-0.29,-0.13,-0.19,-0.22,-0.25,-0.26,-0.24,-0.29,-0.25,-0.11,-0.09,-0.09,-0.11,-0.09,-0.1,-0.1,-0.08,-0.07,-0.08,-0.11,-0.09,-0.07,-0.07,-0.11,-0.07,-0.06,-0.06,-0.09,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.07,-0.07,-0.09,-3.101795520279309,-0.4144388163742292
