hand1,hand2,hand1_equity,hand2_equity
94s,32o,0.6655,0.3345
32o,95o,0.3454,0.6546
95s,32o,0.6701,0.3299
32o,96o,0.3429,0.6570999999999999
96s,32o,0.6729999999999999,0.327
32o,97o,0.33630000000000004,0.6637000000000001
97s,32o,0.6796,0.3204
98o,32o,0.6663,0.3337
98s,32o,0.682,0.318
99o,32o,0.8558,0.1442
A2o,32o,0.7468,0.2532
A2s,32o,0.7576,0.24239999999999998
A3o,32o,0.7589,0.24109999999999998
A3s,32o,0.7669,0.23309999999999997
A4o,32o,0.6748999999999999,0.3251
A4s,32o,0.6893,0.3107
A5o,32o,0.6759000000000001,0.32409999999999994
A5s,32o,0.6901,0.3099
A6o,32o,0.6594,0.3406
A6s,32o,0.6747,0.32530000000000003
A7o,32o,0.6645,0.33549999999999996
A7s,32o,0.6801,0.31989999999999996
A8o,32o,0.662,0.33799999999999997
A8s,32o,0.6777,0.3223
A9o,32o,0.6576000000000001,0.34240000000000004
A9s,32o,0.6736,0.3264
AAo,32o,0.8721,0.12789999999999999
AJo,32o,0.6616,0.33840000000000003
AJs,32o,0.6774,0.3226
AKo,32o,0.6598,0.34020000000000006
AKs,32o,0.6757,0.3243
AQo,32o,0.6607,0.3393
AQs,32o,0.6765000000000001,0.3235
ATo,32o,0.6625,0.3375
ATs,32o,0.6781999999999999,0.3218
32o,J2o,0.2859,0.7141
J2s,32o,0.7271,0.2729
32o,J3o,0.2748,0.7252
J3s,32o,0.7354999999999999,0.2645
32o,J4o,0.3414,0.6586
J4s,32o,0.6739,0.3261
32o,J5o,0.34049999999999997,0.6595
J5s,32o,0.6747,0.32530000000000003
32o,J6o,0.3431,0.6568999999999999
J6s,32o,0.6729999999999999,0.327
32o,J7o,0.3367,0.6633
J7s,32o,0.6793,0.3207
J8o,32o,0.6648999999999999,0.33509999999999995
J8s,32o,0.6808,0.31920000000000004
J9o,32o,0.6656,0.3344
J9s,32o,0.6814,0.3186
JJo,32o,0.8569,0.1431
JTo,32o,0.6718000000000001,0.3282
JTs,32o,0.6872,0.3128
32o,K2o,0.2748,0.7252
K2s,32o,0.7379000000000001,0.2621
32o,K3o,0.26289999999999997,0.7371
K3s,32o,0.747,0.253
32o,K4o,0.33990000000000004,0.6601
K4s,32o,0.6754000000000001,0.3246
32o,K5o,0.3389,0.6611
K5s,32o,0.6762,0.32380000000000003
32o,K6o,0.3406,0.6594
K6s,32o,0.6753,0.3247
32o,K7o,0.3383,0.6617000000000001
K7s,32o,0.6779000000000001,0.3221
32o,K8o,0.3417,0.6583
K8s,32o,0.6748000000000001,0.32520000000000004
K9o,32o,0.6587999999999999,0.34119999999999995
K9s,32o,0.6753,0.3247
KJo,32o,0.6635,0.33649999999999997
KJs,32o,0.6795,0.32049999999999995
KKo,32o,0.8569,0.1431
KQo,32o,0.6625,0.3375
KQs,32o,0.6787000000000001,0.32130000000000003
KTo,32o,0.6644,0.3356
KTs,32o,0.6804000000000001,0.3196
32o,Q2o,0.2796,0.7204
Q2s,32o,0.7332,0.2668
32o,Q3o,0.2682,0.7318000000000001
Q3s,32o,0.7419,0.2581
32o,Q4o,0.3403,0.6597
Q4s,32o,0.675,0.325
32o,Q5o,0.3393,0.6607
Q5s,32o,0.6758,0.32420000000000004
32o,Q6o,0.341,0.659
Q6s,32o,0.6748999999999999,0.3251
32o,Q7o,0.3397,0.6603
Q7s,32o,0.6766,0.3234
32o,Q8o,0.3381,0.6618999999999999
Q8s,32o,0.6781,0.32189999999999996
Q9o,32o,0.6625,0.3375
Q9s,32o,0.6786,0.3214
QJo,32o,0.6672,0.3328
QJs,32o,0.6829999999999999,0.317
QQo,32o,0.857,0.14300000000000002
QTo,32o,0.6681999999999999,0.3318
QTs,32o,0.6838,0.31620000000000004
32o,T2o,0.2948,0.7051999999999999
T2s,32o,0.7186,0.2814
32o,T3o,0.284,0.716
T3s,32o,0.7267,0.2733
32o,T4o,0.34369999999999995,0.6563
T4s,32o,0.6717,0.3283
32o,T5o,0.34369999999999995,0.6563
T5s,32o,0.6717,0.3283
32o,T6o,0.34130000000000005,0.6587000000000001
T6s,32o,0.6746,0.32539999999999997
32o,T7o,0.33490000000000003,0.6651
T7s,32o,0.6809999999999999,0.319
T8o,32o,0.6668999999999999,0.3331
T8s,32o,0.6826000000000001,0.31739999999999996
T9o,32o,0.6681,0.3319
T9s,32o,0.6837000000000001,0.31629999999999997
TTo,32o,0.8565999999999999,0.1434
33o,32s,0.8412999999999999,0.15869999999999998
32s,42o,0.4946,0.5054
42s,32s,0.5286,0.4714
32s,43o,0.4818,0.5182
43s,32s,0.5405,0.4595
44o,32s,0.8319,0.1681
32s,52o,0.43329999999999996,0.5667
32s,52s,0.4153,0.5847
32s,53o,0.42590000000000006,0.5740999999999999
53s,32s,0.5917,0.4083
32s,54o,0.42729999999999996,0.5727
54s,32s,0.5996,0.4004
55o,32s,0.8364,0.1636
32s,62o,0.4058,0.5942000000000001
32s,62s,0.3893,0.6107
32s,63o,0.39590000000000003,0.6041
63s,32s,0.62,0.38
32s,64o,0.4103,0.5897
64s,32s,0.6156,0.38439999999999996
32s,65o,0.402,0.598
65s,32s,0.6232,0.3768
66o,32s,0.8237000000000001,0.17629999999999998
32s,72o,0.3846,0.6154
32s,72s,0.3691,0.6309
32s,73o,0.3629,0.6371
32s,73s,0.3489,0.6511
32s,74o,0.3953,0.6047
74s,32s,0.6297,0.3703
32s,75o,0.3899,0.6101
75s,32s,0.6347,0.3653
32s,76o,0.38159999999999994,0.6184000000000001
76s,32s,0.6429,0.35710000000000003
77o,32s,0.8189,0.18109999999999998
32s,82o,0.3614,0.6386
32s,82s,0.34740000000000004,0.6526000000000001
32s,83o,0.35600000000000004,0.644
32s,83s,0.3422,0.6578
32s,84o,0.3922,0.6078
32s,84s,0.3674,0.6325999999999999
32s,85o,0.3873,0.6127
85s,32s,0.6371,0.3629
32s,86o,0.3811,0.6189
86s,32s,0.6433,0.3567
32s,87o,0.36450000000000005,0.6355
87s,32s,0.6595,0.34049999999999997
88o,32s,0.8176000000000001,0.18239999999999998
32s,92o,0.34729999999999994,0.6527
32s,92s,0.33390000000000003,0.6661
32s,93o,0.3395,0.6605
32s,93s,0.3265,0.6735
32s,94o,0.3884,0.6115999999999999
32s,94s,0.3639,0.6361
32s,95o,0.3835,0.6164999999999999
32s,95s,0.3594,0.6406000000000001
32s,96o,0.381,0.619
96s,32s,0.6434000000000001,0.3566
32s,97o,0.3746,0.6254
97s,32s,0.6496999999999999,0.3503
32s,98o,0.3722,0.6278
98s,32s,0.6518999999999999,0.3481
99o,32s,0.8148000000000001,0.1852
32s,A2o,0.2945,0.7055
A2s,32s,0.7156999999999999,0.2843
32s,A3o,0.2849,0.7151000000000001
A3s,32s,0.7248,0.2752
32s,A4o,0.3644,0.6356
A4s,32s,0.659,0.341
32s,A5o,0.3635,0.6365
A5s,32s,0.6598,0.34020000000000006
32s,A6o,0.37939999999999996,0.6206
A6s,32s,0.6446999999999999,0.3553
32s,A7o,0.37439999999999996,0.6256
A7s,32s,0.6498,0.3502
32s,A8o,0.3768,0.6232
A8s,32s,0.6475,0.3525
32s,A9o,0.3809,0.6191
A9s,32s,0.6436,0.3564
AAo,32s,0.8301000000000001,0.1699
32s,AJo,0.377,0.623
AJs,32s,0.6473,0.3527
32s,AKo,0.3788,0.6212
AKs,32s,0.6456999999999999,0.3543
32s,AQo,0.3779,0.6221
AQs,32s,0.6465000000000001,0.35350000000000004
32s,ATo,0.3761,0.6239
ATs,32s,0.6481,0.3519
32s,J2o,0.3258,0.6742
32s,J2s,0.3134,0.6866
32s,J3o,0.3172,0.6828
32s,J3s,0.3053,0.6947
32s,J4o,0.38,0.62
32s,J4s,0.35590000000000005,0.6441
32s,J5o,0.3791,0.6209
32s,J5s,0.35509999999999997,0.6448999999999999
32s,J6o,0.3814,0.6186
32s,J6s,0.3569,0.6431
32s,J7o,0.3754,0.6246
32s,J7s,0.35090000000000005,0.6491
32s,J8o,0.3737,0.6263000000000001
J8s,32s,0.6505,0.34950000000000003
32s,J9o,0.3729,0.6271
J9s,32s,0.6513,0.34869999999999995
JJo,32s,0.8159000000000001,0.1841
32s,JTo,0.3669,0.6331
JTs,32s,0.6568999999999999,0.3431
32s,K2o,0.3151,0.6849
K2s,32s,0.6970000000000001,0.303
32s,K3o,0.3057,0.6943
K3s,32s,0.7059000000000001,0.29410000000000003
32s,K4o,0.3786,0.6214
K4s,32s,0.6455,0.35450000000000004
32s,K5o,0.37770000000000004,0.6223
K5s,32s,0.6463,0.35369999999999996
32s,K6o,0.3791,0.6209
K6s,32s,0.6453,0.3547
32s,K7o,0.377,0.623
K7s,32s,0.6476000000000001,0.35240000000000005
32s,K8o,0.3803,0.6197
K8s,32s,0.6445000000000001,0.3555
32s,K9o,0.3795,0.6204999999999999
K9s,32s,0.6452,0.35479999999999995
32s,KJo,0.3751,0.6249
KJs,32s,0.6494,0.3506
KKo,32s,0.8159000000000001,0.1841
32s,KQo,0.376,0.624
KQs,32s,0.6485,0.3515
32s,KTo,0.37420000000000003,0.6258
KTs,32s,0.6502,0.34979999999999994
32s,Q2o,0.31980000000000003,0.6801999999999999
32s,Q2s,0.30760000000000004,0.6923999999999999
32s,Q3o,0.31079999999999997,0.6892
32s,Q3s,0.2991,0.7009000000000001
32s,Q4o,0.379,0.621
32s,Q4s,0.3549,0.6451
32s,Q5o,0.37799999999999995,0.622
32s,Q5s,0.35409999999999997,0.6459
32s,Q6o,0.3795,0.6204999999999999
32s,Q6s,0.35509999999999997,0.6448999999999999
32s,Q7o,0.37829999999999997,0.6217
32s,Q7s,0.35359999999999997,0.6464
32s,Q8o,0.37670000000000003,0.6233
Q8s,32s,0.6478,0.3522
32s,Q9o,0.3759,0.6241
Q9s,32s,0.6485,0.3515
32s,QJo,0.3714,0.6286
QJs,32s,0.6527,0.34729999999999994
QQo,32s,0.8159000000000001,0.1841
32s,QTo,0.3705,0.6295000000000001
QTs,32s,0.6536,0.3464
32s,T2o,0.3343,0.6657
32s,T2s,0.3215,0.6785
32s,T3o,0.326,0.674
32s,T3s,0.31370000000000003,0.6862999999999999
32s,T4o,0.3821,0.6179
32s,T4s,0.358,0.642
32s,T5o,0.3821,0.6179
32s,T5s,0.358,0.642
32s,T6o,0.3796,0.6204
32s,T6s,0.3552,0.6448
32s,T7o,0.3735,0.6265
T7s,32s,0.6507999999999999,0.3492
32s,T8o,0.37170000000000003,0.6283
T8s,32s,0.6524,0.34759999999999996
32s,T9o,0.3704,0.6296
T9s,32s,0.6536,0.3464
TTo,32s,0.8156,0.1844
33o,42o,0.7016,0.2984
33o,42s,0.6659999999999999,0.33399999999999996
33o,43o,0.6502,0.34979999999999994
33o,43s,0.6139,0.3861
44o,33o,0.8101,0.18989999999999999
33o,52o,0.6958,0.3042
33o,52s,0.6606000000000001,0.3394
33o,53o,0.6445000000000001,0.3555
33o,53s,0.6086,0.3914
33o,54o,0.5232,0.4768
33o,54s,0.498,0.502
55o,33o,0.8151999999999999,0.1848
33o,62o,0.6968000000000001,0.3032
33o,62s,0.6616,0.33840000000000003
33o,63o,0.6563,0.34369999999999995
33o,63s,0.6193,0.3807
33o,64o,0.5286,0.4714
33o,64s,0.5031,0.49689999999999995
33o,65o,0.5164,0.4836
33o,65s,0.4919,0.5081
66o,33o,0.8145,0.1855
33o,72o,0.6962,0.3038
33o,72s,0.6611,0.3389
33o,73o,0.6661,0.33390000000000003
33o,73s,0.6282,0.3718
33o,74o,0.5313,0.46869999999999995
33o,74s,0.5059,0.4941
33o,75o,0.5192,0.4808
33o,75s,0.4947,0.5053
33o,76o,0.5061,0.4939
33o,76s,0.4825,0.5175
77o,33o,0.8139,0.1861
33o,82o,0.6873,0.3127
33o,82s,0.6528,0.3472
33o,83o,0.6758,0.32420000000000004
33o,83s,0.637,0.363
33o,84o,0.5314,0.4686
33o,84s,0.506,0.494
33o,85o,0.5193,0.4807
33o,85s,0.4949,0.5051
33o,86o,0.5062,0.4938
33o,86s,0.4827,0.5173
33o,87o,0.4929,0.5071
33o,87s,0.4703,0.5297
88o,33o,0.8162,0.1838
33o,92o,0.6862,0.31379999999999997
33o,92s,0.6517000000000001,0.3483
33o,93o,0.6724,0.3276
33o,93s,0.6339,0.3661
33o,94o,0.5438000000000001,0.4562
33o,94s,0.5176,0.4824
33o,95o,0.5318,0.4682
33o,95s,0.5065,0.4935
33o,96o,0.5186999999999999,0.4813
33o,96s,0.4943,0.5057
33o,97o,0.5059,0.4941
33o,97s,0.4824,0.5176
33o,98o,0.4926,0.5074000000000001
33o,98s,0.47,0.53
99o,33o,0.8134,0.1866
33o,A2o,0.6884,0.3116
33o,A2s,0.6535,0.3465
33o,A3o,0.6640999999999999,0.33590000000000003
33o,A3s,0.626,0.374
33o,A4o,0.5394,0.4606
33o,A4s,0.5131,0.4869
33o,A5o,0.5357999999999999,0.4642
33o,A5s,0.5099,0.4901
33o,A6o,0.5426,0.45740000000000003
33o,A6s,0.5163,0.48369999999999996
33o,A7o,0.5359,0.46409999999999996
33o,A7s,0.5101,0.4899
33o,A8o,0.5312,0.46880000000000005
33o,A8s,0.5057,0.4943
33o,A9o,0.5357,0.4643
33o,A9s,0.5097999999999999,0.4902
AAo,33o,0.8177,0.18230000000000002
33o,AJo,0.5267000000000001,0.4733
33o,AJs,0.5015,0.4985
33o,AKo,0.5338,0.46619999999999995
33o,AKs,0.5079,0.4921
33o,AQo,0.5302,0.4698
33o,AQs,0.5047,0.4953
33o,ATo,0.5232,0.4768
33o,ATs,0.49829999999999997,0.5017
33o,J2o,0.6862999999999999,0.31370000000000003
33o,J2s,0.6518,0.3482
33o,J3o,0.6725,0.3275
33o,J3s,0.6338,0.36619999999999997
33o,J4o,0.5406,0.4594
33o,J4s,0.5146000000000001,0.4854
33o,J5o,0.5371,0.4629
33o,J5s,0.5114,0.4886
33o,J6o,0.5361,0.4639
33o,J6s,0.5103,0.48969999999999997
33o,J7o,0.5233,0.4767
33o,J7s,0.4985,0.5015
33o,J8o,0.5101,0.4899
33o,J8s,0.48619999999999997,0.5138
33o,J9o,0.5025999999999999,0.4974
33o,J9s,0.4792,0.5207999999999999
JJo,33o,0.8142,0.1858
33o,JTo,0.4899,0.5101
33o,JTs,0.4675,0.5325
33o,K2o,0.6911,0.3089
33o,K2s,0.6559999999999999,0.344
33o,K3o,0.6770999999999999,0.32289999999999996
33o,K3s,0.6381,0.3619
33o,K4o,0.5452,0.4548
33o,K4s,0.5186999999999999,0.4813
33o,K5o,0.5416,0.45840000000000003
33o,K5s,0.5155,0.48450000000000004
33o,K6o,0.5371,0.4629
33o,K6s,0.5112,0.4888
33o,K7o,0.5329,0.4671
33o,K7s,0.5072,0.4928
33o,K8o,0.5317000000000001,0.4683
33o,K8s,0.506,0.494
33o,K9o,0.5242,0.4758
33o,K9s,0.4991,0.5009
33o,KJo,0.5152,0.48479999999999995
33o,KJs,0.49079999999999996,0.5092
KKo,33o,0.8137000000000001,0.1863
33o,KQo,0.5186999999999999,0.4813
33o,KQs,0.494,0.506
33o,KTo,0.5117,0.48829999999999996
33o,KTs,0.4875,0.5125
33o,Q2o,0.6887000000000001,0.31129999999999997
33o,Q2s,0.6539,0.3461
33o,Q3o,0.6748000000000001,0.32520000000000004
33o,Q3s,0.6359,0.3641
33o,Q4o,0.5428999999999999,0.4571
33o,Q4s,0.5166,0.48340000000000005
33o,Q5o,0.5393,0.4607
33o,Q5s,0.5134000000000001,0.4866
33o,Q6o,0.5347999999999999,0.46520000000000006
33o,Q6s,0.5091,0.49090000000000006
33o,Q7o,0.5341,0.46590000000000004
33o,Q7s,0.5084000000000001,0.4916
33o,Q8o,0.5209,0.47909999999999997
33o,Q8s,0.4961,0.5039
33o,Q9o,0.5134000000000001,0.4866
33o,Q9s,0.4892,0.5108
33o,QJo,0.5043,0.49570000000000003
33o,QJs,0.4808,0.5192
QQo,33o,0.8140000000000001,0.18600000000000003
33o,QTo,0.5008,0.49920000000000003
33o,QTs,0.4775,0.5225
33o,T2o,0.684,0.316
33o,T2s,0.6496999999999999,0.3503
33o,T3o,0.6701999999999999,0.3298
33o,T3s,0.6318,0.3682
33o,T4o,0.5384,0.46159999999999995
33o,T4s,0.5126,0.4874
33o,T5o,0.5384,0.46159999999999995
33o,T5s,0.5126,0.4874
33o,T6o,0.5253,0.4747
33o,T6s,0.5005,0.49950000000000006
33o,T7o,0.5126,0.4874
33o,T7s,0.4886,0.5114
33o,T8o,0.4993,0.5007
33o,T8s,0.47619999999999996,0.5238
33o,T9o,0.4917,0.5083
33o,T9s,0.4692,0.5307999999999999
TTo,33o,0.8142,0.1858
42s,42o,0.5251,0.47490000000000004
43o,42o,0.5367000000000001,0.4633
43s,42o,0.5606,0.43939999999999996
44o,42o,0.894,0.106
42o,52o,0.40259999999999996,0.5974
52s,42o,0.6163000000000001,0.3837
42o,53o,0.44229999999999997,0.5577000000000001
53s,42o,0.5811999999999999,0.4188
54o,42o,0.6159,0.38409999999999994
54s,42o,0.6315,0.3685
55o,42o,0.8775,0.1225
42o,62o,0.3728,0.6272
62s,42o,0.6446,0.3554
42o,63o,0.4168,0.5832
63s,42o,0.6045,0.39549999999999996
42o,64o,0.3557,0.6443000000000001
64s,42o,0.6585,0.34149999999999997
65o,42o,0.6365999999999999,0.36340000000000006
65s,42o,0.6535,0.3465
66o,42o,0.8633,0.1367
42o,72o,0.3531,0.6469
72s,42o,0.6635,0.33649999999999997
42o,73o,0.4023,0.5977
73s,42o,0.6178,0.3822
42o,74o,0.32130000000000003,0.6787000000000001
74s,42o,0.691,0.309
42o,75o,0.3518,0.6481999999999999
75s,42o,0.6640999999999999,0.33590000000000003
76o,42o,0.6534,0.34659999999999996
76s,42o,0.6695,0.33049999999999996
77o,42o,0.8545,0.14550000000000002
42o,82o,0.3284,0.6716
82s,42o,0.6867,0.31329999999999997
42o,83o,0.39840000000000003,0.6015999999999999
83s,42o,0.6213000000000001,0.3787
42o,84o,0.3143,0.6857
84s,42o,0.6978,0.30219999999999997
42o,85o,0.34850000000000003,0.6515000000000001
85s,42o,0.6670999999999999,0.3329
42o,86o,0.3456,0.6544
86s,42o,0.6704000000000001,0.3296
87o,42o,0.6623,0.33770000000000006
87s,42o,0.6781,0.32189999999999996
88o,42o,0.8531,0.1469
42o,92o,0.3091,0.6909000000000001
92s,42o,0.705,0.295
42o,93o,0.3849,0.6151
93s,42o,0.6339,0.3661
42o,94o,0.2981,0.7019
94s,42o,0.7132,0.2868
42o,95o,0.34590000000000004,0.6541
95s,42o,0.6696,0.33039999999999997
42o,96o,0.34340000000000004,0.6566
96s,42o,0.6725,0.3275
42o,97o,0.3368,0.6631999999999999
97s,42o,0.6790999999999999,0.3209
98o,42o,0.6658,0.3342
98s,42o,0.6815000000000001,0.3185
99o,42o,0.8556999999999999,0.14429999999999998
A2o,42o,0.7423000000000001,0.2577
A2s,42o,0.7534000000000001,0.2466
A3o,42o,0.6339,0.3661
A3s,42o,0.6516,0.34840000000000004
A4o,42o,0.7572,0.24280000000000002
A4s,42o,0.7653,0.2347
A5o,42o,0.6742,0.3258
A5s,42o,0.6884,0.3116
A6o,42o,0.6573,0.3427
A6s,42o,0.6725,0.3275
A7o,42o,0.6592,0.3408
A7s,42o,0.675,0.325
A8o,42o,0.6568,0.3432
A8s,42o,0.6727,0.3273
A9o,42o,0.6570999999999999,0.3429
A9s,42o,0.6731,0.32689999999999997
AAo,42o,0.8676999999999999,0.1323
AJo,42o,0.6576000000000001,0.34240000000000004
AJs,42o,0.6736,0.3264
AKo,42o,0.6557,0.3443
AKs,42o,0.6718999999999999,0.3281
