attribute,class,accuracy,precision,recall,f1_score,support_frac,rmse
suited_broadway,1,1.0,1.0,1.0,1.0,0.23668639053254437,
suited_broadway,2,1.0,1.0,1.0,1.0,0.05917159763313609,
connector,0,1.0,1.0,1.0,1.0,0.8461538461538461,
connector,1,1.0,1.0,1.0,1.0,0.15384615384615385,
one_gap,0,1.0,1.0,1.0,1.0,0.8579881656804734,
one_gap,1,1.0,1.0,1.0,1.0,0.14201183431952663,
two_gap,0,1.0,1.0,1.0,1.0,0.8698224852071006,
two_gap,1,1.0,1.0,1.0,1.0,0.1301775147928994,
suited_connector,0,1.0,1.0,1.0,1.0,0.9230769230769231,
suited_connector,1,1.0,1.0,1.0,1.0,0.07692307692307693,
suited_one_gap,0,1.0,1.0,1.0,1.0,0.9289940828402367,
suited_one_gap,1,1.0,1.0,1.0,1.0,0.07100591715976332,
suited_two_gap,0,0.9940828402366864,0.9937106918238994,1.0,0.9968454258675079,0.9349112426035503,
suited_two_gap,1,0.9940828402366864,1.0,0.9090909090909091,0.9523809523809523,0.0650887573964497,
tot_win_perc,,,,,,,0.0326181044032015
high_card_win_perc,,,,,,,0.046337878120745565
one_pair_win_perc,,,,,,,0.03098093647552276
two_pair_win_perc,,,,,,,0.03588184008443833
three_of_a_kind_win_perc,,,,,,,0.045386070387702857
straight_win_perc,,,,,,,0.04650704322252909
flush_win_perc,,,,,,,0.04630216488497962
full_house_win_perc,,,,,,,0.04626201654109196
four_of_a_kind_win_perc,,,,,,,0.04695239070555845
straight_flush_win_perc,,,,,,,0.046906450553643696
BB_play10,,,,,,,0.1552916704655525
BB_play2,,,,,,,0.08316751206290038
BB_play3,,,,,,,0.10737046015396357
BB_play4,,,,,,,0.12033884964133562
BB_play5,,,,,,,0.12340837693776502
BB_play6,,,,,,,0.14972789493852742
BB_play7,,,,,,,0.16399513823143227
BB_play8,,,,,,,0.1342772925819709
BB_play9,,,,,,,0.14900682164854323
D_play10,,,,,,,0.12643393701453245
D_play3,,,,,,,0.10078953661677566
D_play4,,,,,,,0.10542923773781629
D_play5,,,,,,,0.1101003755731918
D_play6,,,,,,,0.12607398887107624
D_play7,,,,,,,0.1270855114152263
D_play8,,,,,,,0.12628656687598344
D_play9,,,,,,,0.12575171468441054
SB_play10,,,,,,,0.13776915397865458
SB_play2,,,,,,,0.08616975773186894
SB_play3,,,,,,,0.1071308381626215
SB_play4,,,,,,,0.11890080652999635
SB_play5,,,,,,,0.12203225057896806
SB_play6,,,,,,,0.15118473068471783
SB_play7,,,,,,,0.1415563102277796
SB_play8,,,,,,,0.1372602087599972
SB_play9,,,,,,,0.14445951087712866
pos3_play10,,,,,,,0.12094556575702675
pos3_play4,,,,,,,0.10156966121630623
pos3_play5,,,,,,,0.10624133282908325
pos3_play6,,,,,,,0.11769770795969041
pos3_play7,,,,,,,0.11948097323763954
pos3_play8,,,,,,,0.12335350113149839
pos3_play9,,,,,,,0.1214820138759603
pos4_play10,,,,,,,0.12648885388867326
pos4_play5,,,,,,,0.10739977904494703
pos4_play6,,,,,,,0.14293867599976112
pos4_play7,,,,,,,0.11890746009910974
pos4_play8,,,,,,,0.12221932132487506
pos4_play9,,,,,,,0.12855301858951626
pos5_play10,,,,,,,0.12912841341359513
pos5_play6,,,,,,,0.1333564646268629
pos5_play7,,,,,,,0.12067460889982674
pos5_play8,,,,,,,0.11556094487940467
pos5_play9,,,,,,,0.12224394174470583
pos6_play10,,,,,,,0.12854759947597588
pos6_play7,,,,,,,0.13005028389037604
pos6_play8,,,,,,,0.12028677960742197
pos6_play9,,,,,,,0.1210097053087578
pos7_play10,,,,,,,0.12466295001094568
pos7_play8,,,,,,,0.12267235960523222
pos7_play9,,,,,,,0.12236682854288497
pos8_play10,,,,,,,0.12167847364639225
pos8_play9,,,,,,,0.12812612948384167
pos9_play10,,,,,,,0.1216207951298269
