train_loss,train_accuracy,epochs
0.4692970397270063,0.8041645122161409,1
0.1955026384077334,0.9274543662988654,2
0.14974200410672314,0.950293167871533,3
0.13710179448921153,0.9574248056116526,4
0.12767665447688936,0.9629922309701043,5
0.12004245569101983,0.965447491569188,6
0.11661698860108555,0.9676783641135208,7
0.11527896323512478,0.9680133201952501,8
0.11001750572077844,0.9698832206515058,9
0.10636147836877186,0.9713271090038146,10
0.10493698920713684,0.9717010890950657,11
0.09911212762089418,0.9729335973957978,12
0.09849999546260882,0.9738929376298768,13
0.09317283803432833,0.9748490258631624,14
0.08995787114425625,0.9755774740409037,15
0.08710132725846748,0.9758278781020022,16
0.08249941473817468,0.9769693303805166,17
0.0763435340060321,0.9794083309756327,18
0.07065746233722632,0.9806148232700169,19
0.06881142586482047,0.9817465195461508,20
0.06452680478638004,0.9828099238056214,21
0.06462695750837119,0.9828099238056214,22
0.06064639542679521,0.9844034041944306,23
0.061773691744777606,0.984159504134919,24
0.06116939066117397,0.9839025960722334,25
0.05466753709441463,0.9854603044523143,26
0.05954885601179175,0.9842668201611041,27
0.05255541066715057,0.9863090766594147,28
0.05078022276204755,0.9859611125745115,29
0.05012437144291282,0.9864196446863933,30
0.04628884249650401,0.9868521607919273,31
0.04862630589959675,0.9862960686562408,32
0.043685443649772004,0.9874797969450705,33
0.044054631562206195,0.9876911769966472,34
0.04426787239801566,0.9876391449839513,35
0.05508158380280368,0.9856749365046845,36
0.03757160016879464,0.9892001053648257,37
0.04404353082936239,0.9877789810180714,38
0.03586561560860142,0.9893496974013262,39
0.042767414209524325,0.9881854811172573,40
0.03744722435873826,0.9897496934989252,41
0.03651246366039935,0.9896391254719467,42
0.03881847193331369,0.9893496974013262,43
0.034411127530286294,0.990474889675873,44
0.0661073332867847,0.9853172164174008,45
0.055764084410684776,0.9856326604943692,46
0.03558296884120304,0.990247249620329,47
0.03422554496818295,0.9897431894973382,48
0.039002669497878104,0.9895643294536964,49
0.03459299271755825,0.9904098496600033,50
