,flop,suitedness,pairness,connectedness,high_low_texture,high_card,straightness
2790,"('2c', '4h', '8d')",0.0,0.0,0.0,0.0,6.0,0.0
2791,"('2c', '4h', '9s')",0.0,0.0,0.0,0.0,7.0,0.0
2792,"('2c', '4h', '9h')",1.0,0.0,0.0,0.0,7.0,0.0
2793,"('2c', '4h', '9c')",1.0,0.0,0.0,0.0,7.0,0.0
2794,"('2c', '4h', '9d')",0.0,0.0,0.0,0.0,7.0,0.0
2795,"('2c', '4h', 'Ts')",0.0,0.0,0.0,0.0,8.0,0.0
2796,"('2c', '4h', 'Th')",1.0,0.0,0.0,0.0,8.0,0.0
2797,"('2c', '4h', 'Tc')",1.0,0.0,0.0,0.0,8.0,0.0
2798,"('2c', '4h', 'Td')",0.0,0.0,0.0,0.0,8.0,0.0
2799,"('2c', '4h', 'Js')",0.0,0.0,0.0,0.0,9.0,0.0
2800,"('2c', '4h', 'Jh')",1.0,0.0,0.0,0.0,9.0,0.0
2801,"('2c', '4h', 'Jc')",1.0,0.0,0.0,0.0,9.0,0.0
2802,"('2c', '4h', 'Jd')",0.0,0.0,0.0,0.0,9.0,0.0
2803,"('2c', '4h', 'Qs')",0.0,0.0,0.0,0.0,10.0,0.0
2804,"('2c', '4h', 'Qh')",1.0,0.0,0.0,0.0,10.0,0.0
2805,"('2c', '4h', 'Qc')",1.0,0.0,0.0,0.0,10.0,0.0
2806,"('2c', '4h', 'Qd')",0.0,0.0,0.0,0.0,10.0,0.0
2807,"('2c', '4h', 'Ks')",0.0,0.0,0.0,0.0,11.0,0.0
2808,"('2c', '4h', 'Kh')",1.0,0.0,0.0,0.0,11.0,0.0
2809,"('2c', '4h', 'Kc')",1.0,0.0,0.0,0.0,11.0,0.0
2810,"('2c', '4h', 'Kd')",0.0,0.0,0.0,0.0,11.0,0.0
2811,"('2c', '4h', 'As')",0.0,0.0,1.0,0.0,12.0,1.0
2812,"('2c', '4h', 'Ah')",1.0,0.0,1.0,0.0,12.0,1.0
2813,"('2c', '4h', 'Ac')",1.0,0.0,1.0,0.0,12.0,1.0
2814,"('2c', '4h', 'Ad')",0.0,0.0,1.0,0.0,12.0,1.0
2815,"('2c', '4c', '4d')",1.0,1.0,0.0,0.0,2.0,0.0
2816,"('2c', '4c', '5s')",1.0,0.0,1.0,0.0,3.0,2.0
2817,"('2c', '4c', '5h')",1.0,0.0,1.0,0.0,3.0,2.0
2818,"('2c', '4c', '5c')",2.0,0.0,1.0,0.0,3.0,2.0
2819,"('2c', '4c', '5d')",1.0,0.0,1.0,0.0,3.0,2.0
2820,"('2c', '4c', '6s')",1.0,0.0,0.0,0.0,4.0,1.0
2821,"('2c', '4c', '6h')",1.0,0.0,0.0,0.0,4.0,1.0
2822,"('2c', '4c', '6c')",2.0,0.0,0.0,0.0,4.0,1.0
2823,"('2c', '4c', '6d')",1.0,0.0,0.0,0.0,4.0,1.0
2824,"('2c', '4c', '7s')",1.0,0.0,0.0,0.0,5.0,0.0
2825,"('2c', '4c', '7h')",1.0,0.0,0.0,0.0,5.0,0.0
2826,"('2c', '4c', '7c')",2.0,0.0,0.0,0.0,5.0,0.0
2827,"('2c', '4c', '7d')",1.0,0.0,0.0,0.0,5.0,0.0
2828,"('2c', '4c', '8s')",1.0,0.0,0.0,0.0,6.0,0.0
2829,"('2c', '4c', '8h')",1.0,0.0,0.0,0.0,6.0,0.0
2830,"('2c', '4c', '8c')",2.0,0.0,0.0,0.0,6.0,0.0
2831,"('2c', '4c', '8d')",1.0,0.0,0.0,0.0,6.0,0.0
2832,"('2c', '4c', '9s')",1.0,0.0,0.0,0.0,7.0,0.0
2833,"('2c', '4c', '9h')",1.0,0.0,0.0,0.0,7.0,0.0
2834,"('2c', '4c', '9c')",2.0,0.0,0.0,0.0,7.0,0.0
2835,"('2c', '4c', '9d')",1.0,0.0,0.0,0.0,7.0,0.0
2836,"('2c', '4c', 'Ts')",1.0,0.0,0.0,0.0,8.0,0.0
2837,"('2c', '4c', 'Th')",1.0,0.0,0.0,0.0,8.0,0.0
2838,"('2c', '4c', 'Tc')",2.0,0.0,0.0,0.0,8.0,0.0
2839,"('2c', '4c', 'Td')",1.0,0.0,0.0,0.0,8.0,0.0
2840,"('2c', '4c', 'Js')",1.0,0.0,0.0,0.0,9.0,0.0
2841,"('2c', '4c', 'Jh')",1.0,0.0,0.0,0.0,9.0,0.0
2842,"('2c', '4c', 'Jc')",2.0,0.0,0.0,0.0,9.0,0.0
2843,"('2c', '4c', 'Jd')",1.0,0.0,0.0,0.0,9.0,0.0
2844,"('2c', '4c', 'Qs')",1.0,0.0,0.0,0.0,10.0,0.0
2845,"('2c', '4c', 'Qh')",1.0,0.0,0.0,0.0,10.0,0.0
2846,"('2c', '4c', 'Qc')",2.0,0.0,0.0,0.0,10.0,0.0
2847,"('2c', '4c', 'Qd')",1.0,0.0,0.0,0.0,10.0,0.0
2848,"('2c', '4c', 'Ks')",1.0,0.0,0.0,0.0,11.0,0.0
2849,"('2c', '4c', 'Kh')",1.0,0.0,0.0,0.0,11.0,0.0
2850,"('2c', '4c', 'Kc')",2.0,0.0,0.0,0.0,11.0,0.0
2851,"('2c', '4c', 'Kd')",1.0,0.0,0.0,0.0,11.0,0.0
2852,"('2c', '4c', 'As')",1.0,0.0,1.0,0.0,12.0,1.0
2853,"('2c', '4c', 'Ah')",1.0,0.0,1.0,0.0,12.0,1.0
2854,"('2c', '4c', 'Ac')",2.0,0.0,1.0,0.0,12.0,1.0
2855,"('2c', '4c', 'Ad')",1.0,0.0,1.0,0.0,12.0,1.0
2856,"('2c', '4d', '5s')",0.0,0.0,1.0,0.0,3.0,2.0
2857,"('2c', '4d', '5h')",0.0,0.0,1.0,0.0,3.0,2.0
2858,"('2c', '4d', '5c')",1.0,0.0,1.0,0.0,3.0,2.0
2859,"('2c', '4d', '5d')",1.0,0.0,1.0,0.0,3.0,2.0
2860,"('2c', '4d', '6s')",0.0,0.0,0.0,0.0,4.0,1.0
2861,"('2c', '4d', '6h')",0.0,0.0,0.0,0.0,4.0,1.0
2862,"('2c', '4d', '6c')",1.0,0.0,0.0,0.0,4.0,1.0
2863,"('2c', '4d', '6d')",1.0,0.0,0.0,0.0,4.0,1.0
2864,"('2c', '4d', '7s')",0.0,0.0,0.0,0.0,5.0,0.0
2865,"('2c', '4d', '7h')",0.0,0.0,0.0,0.0,5.0,0.0
2866,"('2c', '4d', '7c')",1.0,0.0,0.0,0.0,5.0,0.0
2867,"('2c', '4d', '7d')",1.0,0.0,0.0,0.0,5.0,0.0
2868,"('2c', '4d', '8s')",0.0,0.0,0.0,0.0,6.0,0.0
2869,"('2c', '4d', '8h')",0.0,0.0,0.0,0.0,6.0,0.0
2870,"('2c', '4d', '8c')",1.0,0.0,0.0,0.0,6.0,0.0
2871,"('2c', '4d', '8d')",1.0,0.0,0.0,0.0,6.0,0.0
2872,"('2c', '4d', '9s')",0.0,0.0,0.0,0.0,7.0,0.0
2873,"('2c', '4d', '9h')",0.0,0.0,0.0,0.0,7.0,0.0
2874,"('2c', '4d', '9c')",1.0,0.0,0.0,0.0,7.0,0.0
2875,"('2c', '4d', '9d')",1.0,0.0,0.0,0.0,7.0,0.0
2876,"('2c', '4d', 'Ts')",0.0,0.0,0.0,0.0,8.0,0.0
2877,"('2c', '4d', 'Th')",0.0,0.0,0.0,0.0,8.0,0.0
2878,"('2c', '4d', 'Tc')",1.0,0.0,0.0,0.0,8.0,0.0
2879,"('2c', '4d', 'Td')",1.0,0.0,0.0,0.0,8.0,0.0
2880,"('2c', '4d', 'Js')",0.0,0.0,0.0,0.0,9.0,0.0
2881,"('2c', '4d', 'Jh')",0.0,0.0,0.0,0.0,9.0,0.0
2882,"('2c', '4d', 'Jc')",1.0,0.0,0.0,0.0,9.0,0.0
2883,"('2c', '4d', 'Jd')",1.0,0.0,0.0,0.0,9.0,0.0
2884,"('2c', '4d', 'Qs')",0.0,0.0,0.0,0.0,10.0,0.0
2885,"('2c', '4d', 'Qh')",0.0,0.0,0.0,0.0,10.0,0.0
2886,"('2c', '4d', 'Qc')",1.0,0.0,0.0,0.0,10.0,0.0
2887,"('2c', '4d', 'Qd')",1.0,0.0,0.0,0.0,10.0,0.0
2888,"('2c', '4d', 'Ks')",0.0,0.0,0.0,0.0,11.0,0.0
2889,"('2c', '4d', 'Kh')",0.0,0.0,0.0,0.0,11.0,0.0
2890,"('2c', '4d', 'Kc')",1.0,0.0,0.0,0.0,11.0,0.0
2891,"('2c', '4d', 'Kd')",1.0,0.0,0.0,0.0,11.0,0.0
2892,"('2c', '4d', 'As')",0.0,0.0,1.0,0.0,12.0,1.0
2893,"('2c', '4d', 'Ah')",0.0,0.0,1.0,0.0,12.0,1.0
2894,"('2c', '4d', 'Ac')",1.0,0.0,1.0,0.0,12.0,1.0
2895,"('2c', '4d', 'Ad')",1.0,0.0,1.0,0.0,12.0,1.0
2896,"('2c', '5s', '5h')",0.0,1.0,0.0,0.0,3.0,0.0
2897,"('2c', '5s', '5c')",1.0,1.0,0.0,0.0,3.0,0.0
2898,"('2c', '5s', '5d')",0.0,1.0,0.0,0.0,3.0,0.0
2899,"('2c', '5s', '6s')",1.0,0.0,1.0,0.0,4.0,1.0
2900,"('2c', '5s', '6h')",0.0,0.0,1.0,0.0,4.0,1.0
2901,"('2c', '5s', '6c')",1.0,0.0,1.0,0.0,4.0,1.0
2902,"('2c', '5s', '6d')",0.0,0.0,1.0,0.0,4.0,1.0
2903,"('2c', '5s', '7s')",1.0,0.0,0.0,0.0,5.0,0.0
2904,"('2c', '5s', '7h')",0.0,0.0,0.0,0.0,5.0,0.0
2905,"('2c', '5s', '7c')",1.0,0.0,0.0,0.0,5.0,0.0
2906,"('2c', '5s', '7d')",0.0,0.0,0.0,0.0,5.0,0.0
2907,"('2c', '5s', '8s')",1.0,0.0,0.0,0.0,6.0,0.0
2908,"('2c', '5s', '8h')",0.0,0.0,0.0,0.0,6.0,0.0
2909,"('2c', '5s', '8c')",1.0,0.0,0.0,0.0,6.0,0.0
2910,"('2c', '5s', '8d')",0.0,0.0,0.0,0.0,6.0,0.0
2911,"('2c', '5s', '9s')",1.0,0.0,0.0,0.0,7.0,0.0
2912,"('2c', '5s', '9h')",0.0,0.0,0.0,0.0,7.0,0.0
2913,"('2c', '5s', '9c')",1.0,0.0,0.0,0.0,7.0,0.0
2914,"('2c', '5s', '9d')",0.0,0.0,0.0,0.0,7.0,0.0
2915,"('2c', '5s', 'Ts')",1.0,0.0,0.0,0.0,8.0,0.0
2916,"('2c', '5s', 'Th')",0.0,0.0,0.0,0.0,8.0,0.0
2917,"('2c', '5s', 'Tc')",1.0,0.0,0.0,0.0,8.0,0.0
2918,"('2c', '5s', 'Td')",0.0,0.0,0.0,0.0,8.0,0.0
2919,"('2c', '5s', 'Js')",1.0,0.0,0.0,0.0,9.0,0.0
2920,"('2c', '5s', 'Jh')",0.0,0.0,0.0,0.0,9.0,0.0
2921,"('2c', '5s', 'Jc')",1.0,0.0,0.0,0.0,9.0,0.0
2922,"('2c', '5s', 'Jd')",0.0,0.0,0.0,0.0,9.0,0.0
2923,"('2c', '5s', 'Qs')",1.0,0.0,0.0,0.0,10.0,0.0
2924,"('2c', '5s', 'Qh')",0.0,0.0,0.0,0.0,10.0,0.0
2925,"('2c', '5s', 'Qc')",1.0,0.0,0.0,0.0,10.0,0.0
2926,"('2c', '5s', 'Qd')",0.0,0.0,0.0,0.0,10.0,0.0
2927,"('2c', '5s', 'Ks')",1.0,0.0,0.0,0.0,11.0,0.0
2928,"('2c', '5s', 'Kh')",0.0,0.0,0.0,0.0,11.0,0.0
2929,"('2c', '5s', 'Kc')",1.0,0.0,0.0,0.0,11.0,0.0
2930,"('2c', '5s', 'Kd')",0.0,0.0,0.0,0.0,11.0,0.0
2931,"('2c', '5s', 'As')",1.0,0.0,1.0,0.0,12.0,1.0
2932,"('2c', '5s', 'Ah')",0.0,0.0,1.0,0.0,12.0,1.0
2933,"('2c', '5s', 'Ac')",1.0,0.0,1.0,0.0,12.0,1.0
2934,"('2c', '5s', 'Ad')",0.0,0.0,1.0,0.0,12.0,1.0
2935,"('2c', '5h', '5c')",1.0,1.0,0.0,0.0,3.0,0.0
2936,"('2c', '5h', '5d')",0.0,1.0,0.0,0.0,3.0,0.0
2937,"('2c', '5h', '6s')",0.0,0.0,1.0,0.0,4.0,1.0
2938,"('2c', '5h', '6h')",1.0,0.0,1.0,0.0,4.0,1.0
2939,"('2c', '5h', '6c')",1.0,0.0,1.0,0.0,4.0,1.0
2940,"('2c', '5h', '6d')",0.0,0.0,1.0,0.0,4.0,1.0
2941,"('2c', '5h', '7s')",0.0,0.0,0.0,0.0,5.0,0.0
2942,"('2c', '5h', '7h')",1.0,0.0,0.0,0.0,5.0,0.0
2943,"('2c', '5h', '7c')",1.0,0.0,0.0,0.0,5.0,0.0
2944,"('2c', '5h', '7d')",0.0,0.0,0.0,0.0,5.0,0.0
2945,"('2c', '5h', '8s')",0.0,0.0,0.0,0.0,6.0,0.0
2946,"('2c', '5h', '8h')",1.0,0.0,0.0,0.0,6.0,0.0
2947,"('2c', '5h', '8c')",1.0,0.0,0.0,0.0,6.0,0.0
2948,"('2c', '5h', '8d')",0.0,0.0,0.0,0.0,6.0,0.0
2949,"('2c', '5h', '9s')",0.0,0.0,0.0,0.0,7.0,0.0
2950,"('2c', '5h', '9h')",1.0,0.0,0.0,0.0,7.0,0.0
2951,"('2c', '5h', '9c')",1.0,0.0,0.0,0.0,7.0,0.0
2952,"('2c', '5h', '9d')",0.0,0.0,0.0,0.0,7.0,0.0
2953,"('2c', '5h', 'Ts')",0.0,0.0,0.0,0.0,8.0,0.0
2954,"('2c', '5h', 'Th')",1.0,0.0,0.0,0.0,8.0,0.0
2955,"('2c', '5h', 'Tc')",1.0,0.0,0.0,0.0,8.0,0.0
2956,"('2c', '5h', 'Td')",0.0,0.0,0.0,0.0,8.0,0.0
2957,"('2c', '5h', 'Js')",0.0,0.0,0.0,0.0,9.0,0.0
2958,"('2c', '5h', 'Jh')",1.0,0.0,0.0,0.0,9.0,0.0
2959,"('2c', '5h', 'Jc')",1.0,0.0,0.0,0.0,9.0,0.0
2960,"('2c', '5h', 'Jd')",0.0,0.0,0.0,0.0,9.0,0.0
2961,"('2c', '5h', 'Qs')",0.0,0.0,0.0,0.0,10.0,0.0
2962,"('2c', '5h', 'Qh')",1.0,0.0,0.0,0.0,10.0,0.0
2963,"('2c', '5h', 'Qc')",1.0,0.0,0.0,0.0,10.0,0.0
2964,"('2c', '5h', 'Qd')",0.0,0.0,0.0,0.0,10.0,0.0
2965,"('2c', '5h', 'Ks')",0.0,0.0,0.0,0.0,11.0,0.0
2966,"('2c', '5h', 'Kh')",1.0,0.0,0.0,0.0,11.0,0.0
2967,"('2c', '5h', 'Kc')",1.0,0.0,0.0,0.0,11.0,0.0
2968,"('2c', '5h', 'Kd')",0.0,0.0,0.0,0.0,11.0,0.0
2969,"('2c', '5h', 'As')",0.0,0.0,1.0,0.0,12.0,1.0
2970,"('2c', '5h', 'Ah')",1.0,0.0,1.0,0.0,12.0,1.0
2971,"('2c', '5h', 'Ac')",1.0,0.0,1.0,0.0,12.0,1.0
2972,"('2c', '5h', 'Ad')",0.0,0.0,1.0,0.0,12.0,1.0
2973,"('2c', '5c', '5d')",1.0,1.0,0.0,0.0,3.0,0.0
2974,"('2c', '5c', '6s')",1.0,0.0,1.0,0.0,4.0,1.0
2975,"('2c', '5c', '6h')",1.0,0.0,1.0,0.0,4.0,1.0
2976,"('2c', '5c', '6c')",2.0,0.0,1.0,0.0,4.0,1.0
2977,"('2c', '5c', '6d')",1.0,0.0,1.0,0.0,4.0,1.0
2978,"('2c', '5c', '7s')",1.0,0.0,0.0,0.0,5.0,0.0
2979,"('2c', '5c', '7h')",1.0,0.0,0.0,0.0,5.0,0.0
2980,"('2c', '5c', '7c')",2.0,0.0,0.0,0.0,5.0,0.0
2981,"('2c', '5c', '7d')",1.0,0.0,0.0,0.0,5.0,0.0
2982,"('2c', '5c', '8s')",1.0,0.0,0.0,0.0,6.0,0.0
2983,"('2c', '5c', '8h')",1.0,0.0,0.0,0.0,6.0,0.0
2984,"('2c', '5c', '8c')",2.0,0.0,0.0,0.0,6.0,0.0
2985,"('2c', '5c', '8d')",1.0,0.0,0.0,0.0,6.0,0.0
2986,"('2c', '5c', '9s')",1.0,0.0,0.0,0.0,7.0,0.0
2987,"('2c', '5c', '9h')",1.0,0.0,0.0,0.0,7.0,0.0
2988,"('2c', '5c', '9c')",2.0,0.0,0.0,0.0,7.0,0.0
2989,"('2c', '5c', '9d')",1.0,0.0,0.0,0.0,7.0,0.0
2990,"('2c', '5c', 'Ts')",1.0,0.0,0.0,0.0,8.0,0.0
2991,"('2c', '5c', 'Th')",1.0,0.0,0.0,0.0,8.0,0.0
2992,"('2c', '5c', 'Tc')",2.0,0.0,0.0,0.0,8.0,0.0
2993,"('2c', '5c', 'Td')",1.0,0.0,0.0,0.0,8.0,0.0
2994,"('2c', '5c', 'Js')",1.0,0.0,0.0,0.0,9.0,0.0
2995,"('2c', '5c', 'Jh')",1.0,0.0,0.0,0.0,9.0,0.0
2996,"('2c', '5c', 'Jc')",2.0,0.0,0.0,0.0,9.0,0.0
2997,"('2c', '5c', 'Jd')",1.0,0.0,0.0,0.0,9.0,0.0
2998,"('2c', '5c', 'Qs')",1.0,0.0,0.0,0.0,10.0,0.0
2999,"('2c', '5c', 'Qh')",1.0,0.0,0.0,0.0,10.0,0.0
3000,"('2c', '5c', 'Qc')",2.0,0.0,0.0,0.0,10.0,0.0
3001,"('2c', '5c', 'Qd')",1.0,0.0,0.0,0.0,10.0,0.0
3002,"('2c', '5c', 'Ks')",1.0,0.0,0.0,0.0,11.0,0.0
3003,"('2c', '5c', 'Kh')",1.0,0.0,0.0,0.0,11.0,0.0
3004,"('2c', '5c', 'Kc')",2.0,0.0,0.0,0.0,11.0,0.0
3005,"('2c', '5c', 'Kd')",1.0,0.0,0.0,0.0,11.0,0.0
3006,"('2c', '5c', 'As')",1.0,0.0,1.0,0.0,12.0,1.0
3007,"('2c', '5c', 'Ah')",1.0,0.0,1.0,0.0,12.0,1.0
3008,"('2c', '5c', 'Ac')",2.0,0.0,1.0,0.0,12.0,1.0
3009,"('2c', '5c', 'Ad')",1.0,0.0,1.0,0.0,12.0,1.0
3010,"('2c', '5d', '6s')",0.0,0.0,1.0,0.0,4.0,1.0
3011,"('2c', '5d', '6h')",0.0,0.0,1.0,0.0,4.0,1.0
3012,"('2c', '5d', '6c')",1.0,0.0,1.0,0.0,4.0,1.0
3013,"('2c', '5d', '6d')",1.0,0.0,1.0,0.0,4.0,1.0
3014,"('2c', '5d', '7s')",0.0,0.0,0.0,0.0,5.0,0.0
3015,"('2c', '5d', '7h')",0.0,0.0,0.0,0.0,5.0,0.0
3016,"('2c', '5d', '7c')",1.0,0.0,0.0,0.0,5.0,0.0
3017,"('2c', '5d', '7d')",1.0,0.0,0.0,0.0,5.0,0.0
3018,"('2c', '5d', '8s')",0.0,0.0,0.0,0.0,6.0,0.0
3019,"('2c', '5d', '8h')",0.0,0.0,0.0,0.0,6.0,0.0
3020,"('2c', '5d', '8c')",1.0,0.0,0.0,0.0,6.0,0.0
3021,"('2c', '5d', '8d')",1.0,0.0,0.0,0.0,6.0,0.0
3022,"('2c', '5d', '9s')",0.0,0.0,0.0,0.0,7.0,0.0
3023,"('2c', '5d', '9h')",0.0,0.0,0.0,0.0,7.0,0.0
3024,"('2c', '5d', '9c')",1.0,0.0,0.0,0.0,7.0,0.0
3025,"('2c', '5d', '9d')",1.0,0.0,0.0,0.0,7.0,0.0
3026,"('2c', '5d', 'Ts')",0.0,0.0,0.0,0.0,8.0,0.0
3027,"('2c', '5d', 'Th')",0.0,0.0,0.0,0.0,8.0,0.0
3028,"('2c', '5d', 'Tc')",1.0,0.0,0.0,0.0,8.0,0.0
3029,"('2c', '5d', 'Td')",1.0,0.0,0.0,0.0,8.0,0.0
3030,"('2c', '5d', 'Js')",0.0,0.0,0.0,0.0,9.0,0.0
3031,"('2c', '5d', 'Jh')",0.0,0.0,0.0,0.0,9.0,0.0
3032,"('2c', '5d', 'Jc')",1.0,0.0,0.0,0.0,9.0,0.0
3033,"('2c', '5d', 'Jd')",1.0,0.0,0.0,0.0,9.0,0.0
3034,"('2c', '5d', 'Qs')",0.0,0.0,0.0,0.0,10.0,0.0
3035,"('2c', '5d', 'Qh')",0.0,0.0,0.0,0.0,10.0,0.0
3036,"('2c', '5d', 'Qc')",1.0,0.0,0.0,0.0,10.0,0.0
3037,"('2c', '5d', 'Qd')",1.0,0.0,0.0,0.0,10.0,0.0
3038,"('2c', '5d', 'Ks')",0.0,0.0,0.0,0.0,11.0,0.0
3039,"('2c', '5d', 'Kh')",0.0,0.0,0.0,0.0,11.0,0.0
3040,"('2c', '5d', 'Kc')",1.0,0.0,0.0,0.0,11.0,0.0
3041,"('2c', '5d', 'Kd')",1.0,0.0,0.0,0.0,11.0,0.0
3042,"('2c', '5d', 'As')",0.0,0.0,1.0,0.0,12.0,1.0
3043,"('2c', '5d', 'Ah')",0.0,0.0,1.0,0.0,12.0,1.0
3044,"('2c', '5d', 'Ac')",1.0,0.0,1.0,0.0,12.0,1.0
3045,"('2c', '5d', 'Ad')",1.0,0.0,1.0,0.0,12.0,1.0
3046,"('2c', '6s', '6h')",0.0,1.0,0.0,0.0,4.0,0.0
3047,"('2c', '6s', '6c')",1.0,1.0,0.0,0.0,4.0,0.0
3048,"('2c', '6s', '6d')",0.0,1.0,0.0,0.0,4.0,0.0
3049,"('2c', '6s', '7s')",1.0,0.0,1.0,0.0,5.0,0.0
3050,"('2c', '6s', '7h')",0.0,0.0,1.0,0.0,5.0,0.0
3051,"('2c', '6s', '7c')",1.0,0.0,1.0,0.0,5.0,0.0
3052,"('2c', '6s', '7d')",0.0,0.0,1.0,0.0,5.0,0.0
3053,"('2c', '6s', '8s')",1.0,0.0,0.0,0.0,6.0,0.0
3054,"('2c', '6s', '8h')",0.0,0.0,0.0,0.0,6.0,0.0
3055,"('2c', '6s', '8c')",1.0,0.0,0.0,0.0,6.0,0.0
3056,"('2c', '6s', '8d')",0.0,0.0,0.0,0.0,6.0,0.0
3057,"('2c', '6s', '9s')",1.0,0.0,0.0,0.0,7.0,0.0
3058,"('2c', '6s', '9h')",0.0,0.0,0.0,0.0,7.0,0.0
3059,"('2c', '6s', '9c')",1.0,0.0,0.0,0.0,7.0,0.0
3060,"('2c', '6s', '9d')",0.0,0.0,0.0,0.0,7.0,0.0
3061,"('2c', '6s', 'Ts')",1.0,0.0,0.0,0.0,8.0,0.0
3062,"('2c', '6s', 'Th')",0.0,0.0,0.0,0.0,8.0,0.0
3063,"('2c', '6s', 'Tc')",1.0,0.0,0.0,0.0,8.0,0.0
3064,"('2c', '6s', 'Td')",0.0,0.0,0.0,0.0,8.0,0.0
3065,"('2c', '6s', 'Js')",1.0,0.0,0.0,0.0,9.0,0.0
3066,"('2c', '6s', 'Jh')",0.0,0.0,0.0,0.0,9.0,0.0
3067,"('2c', '6s', 'Jc')",1.0,0.0,0.0,0.0,9.0,0.0
3068,"('2c', '6s', 'Jd')",0.0,0.0,0.0,0.0,9.0,0.0
3069,"('2c', '6s', 'Qs')",1.0,0.0,0.0,0.0,10.0,0.0
3070,"('2c', '6s', 'Qh')",0.0,0.0,0.0,0.0,10.0,0.0
3071,"('2c', '6s', 'Qc')",1.0,0.0,0.0,0.0,10.0,0.0
3072,"('2c', '6s', 'Qd')",0.0,0.0,0.0,0.0,10.0,0.0
3073,"('2c', '6s', 'Ks')",1.0,0.0,0.0,0.0,11.0,0.0
3074,"('2c', '6s', 'Kh')",0.0,0.0,0.0,0.0,11.0,0.0
3075,"('2c', '6s', 'Kc')",1.0,0.0,0.0,0.0,11.0,0.0
3076,"('2c', '6s', 'Kd')",0.0,0.0,0.0,0.0,11.0,0.0
3077,"('2c', '6s', 'As')",1.0,0.0,1.0,0.0,12.0,0.0
3078,"('2c', '6s', 'Ah')",0.0,0.0,1.0,0.0,12.0,0.0
3079,"('2c', '6s', 'Ac')",1.0,0.0,1.0,0.0,12.0,0.0
3080,"('2c', '6s', 'Ad')",0.0,0.0,1.0,0.0,12.0,0.0
3081,"('2c', '6h', '6c')",1.0,1.0,0.0,0.0,4.0,0.0
3082,"('2c', '6h', '6d')",0.0,1.0,0.0,0.0,4.0,0.0
3083,"('2c', '6h', '7s')",0.0,0.0,1.0,0.0,5.0,0.0
3084,"('2c', '6h', '7h')",1.0,0.0,1.0,0.0,5.0,0.0
3085,"('2c', '6h', '7c')",1.0,0.0,1.0,0.0,5.0,0.0
3086,"('2c', '6h', '7d')",0.0,0.0,1.0,0.0,5.0,0.0
3087,"('2c', '6h', '8s')",0.0,0.0,0.0,0.0,6.0,0.0
3088,"('2c', '6h', '8h')",1.0,0.0,0.0,0.0,6.0,0.0
3089,"('2c', '6h', '8c')",1.0,0.0,0.0,0.0,6.0,0.0
3090,"('2c', '6h', '8d')",0.0,0.0,0.0,0.0,6.0,0.0
3091,"('2c', '6h', '9s')",0.0,0.0,0.0,0.0,7.0,0.0
3092,"('2c', '6h', '9h')",1.0,0.0,0.0,0.0,7.0,0.0
3093,"('2c', '6h', '9c')",1.0,0.0,0.0,0.0,7.0,0.0
3094,"('2c', '6h', '9d')",0.0,0.0,0.0,0.0,7.0,0.0
3095,"('2c', '6h', 'Ts')",0.0,0.0,0.0,0.0,8.0,0.0
3096,"('2c', '6h', 'Th')",1.0,0.0,0.0,0.0,8.0,0.0
3097,"('2c', '6h', 'Tc')",1.0,0.0,0.0,0.0,8.0,0.0
3098,"('2c', '6h', 'Td')",0.0,0.0,0.0,0.0,8.0,0.0
3099,"('2c', '6h', 'Js')",0.0,0.0,0.0,0.0,9.0,0.0
3100,"('2c', '6h', 'Jh')",1.0,0.0,0.0,0.0,9.0,0.0
3101,"('2c', '6h', 'Jc')",1.0,0.0,0.0,0.0,9.0,0.0
3102,"('2c', '6h', 'Jd')",0.0,0.0,0.0,0.0,9.0,0.0
3103,"('2c', '6h', 'Qs')",0.0,0.0,0.0,0.0,10.0,0.0
3104,"('2c', '6h', 'Qh')",1.0,0.0,0.0,0.0,10.0,0.0
3105,"('2c', '6h', 'Qc')",1.0,0.0,0.0,0.0,10.0,0.0
3106,"('2c', '6h', 'Qd')",0.0,0.0,0.0,0.0,10.0,0.0
3107,"('2c', '6h', 'Ks')",0.0,0.0,0.0,0.0,11.0,0.0
3108,"('2c', '6h', 'Kh')",1.0,0.0,0.0,0.0,11.0,0.0
3109,"('2c', '6h', 'Kc')",1.0,0.0,0.0,0.0,11.0,0.0
3110,"('2c', '6h', 'Kd')",0.0,0.0,0.0,0.0,11.0,0.0
3111,"('2c', '6h', 'As')",0.0,0.0,1.0,0.0,12.0,0.0
3112,"('2c', '6h', 'Ah')",1.0,0.0,1.0,0.0,12.0,0.0
3113,"('2c', '6h', 'Ac')",1.0,0.0,1.0,0.0,12.0,0.0
3114,"('2c', '6h', 'Ad')",0.0,0.0,1.0,0.0,12.0,0.0
3115,"('2c', '6c', '6d')",1.0,1.0,0.0,0.0,4.0,0.0
3116,"('2c', '6c', '7s')",1.0,0.0,1.0,0.0,5.0,0.0
3117,"('2c', '6c', '7h')",1.0,0.0,1.0,0.0,5.0,0.0
3118,"('2c', '6c', '7c')",2.0,0.0,1.0,0.0,5.0,0.0
3119,"('2c', '6c', '7d')",1.0,0.0,1.0,0.0,5.0,0.0
3120,"('2c', '6c', '8s')",1.0,0.0,0.0,0.0,6.0,0.0
3121,"('2c', '6c', '8h')",1.0,0.0,0.0,0.0,6.0,0.0
